number,layer_name,input_shape,weight_shape,bias_shape,output_shape,kernel,stride,pad,data_scale_prev,data_scale,weight_scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,conv1,"1,3,180,180","16,3,3,3",16,"1,16,180,180","3,3","1,1","1,1",151.085220337,334.089324951,0.6382121444,0.4009261727,0.8694147468,0.3808395863,0.8881111741,0.5250169039,0.1960372031,1.0267906189,0.5935865641,0.3463116586,0.5609466434,0.1987008899,0.9089943767,0.5124202967,0.391325742,0.2355394363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,relu1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pool1,"1,16,180,180",,,"1,16,90,90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,conv2,"1,16,90,90","32,16,3,3",32,"1,32,90,90","3,3","1,1","1,1",334.089324951,379.78338623,0.4293381274,0.3327988386,0.694072485,0.8188387752,0.4297877252,0.4403134286,0.4141799808,0.5446593761,0.3995030522,0.6413105726,0.4715979993,0.6845646501,0.3658964336,0.3288540542,0.1717934459,0.336882025,0.327473253,0.2105259448,0.8093497157,0.2688717246,0.5400441885,0.1271961778,0.4537893832,0.1221479923,0.32631284,0.1469598413,0.4346052408,0.3820180595,0.971293509,0.2774260938,0.6325048804,0.3076894581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,relu2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,pool2,"1,32,90,90",,,"1,32,45,45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,conv3,"1,32,45,45","64,32,3,3",64,"1,64,45,45","3,3","1,1","1,1",379.78338623,290.554412842,0.2646485567,0.2777516544,0.3076498806,0.2300500125,0.3442357779,0.3019209504,0.3787483275,0.2160825729,0.2455834001,0.3677200675,0.4273812473,0.3005980849,0.8569860458,0.2963900566,0.7235780358,0.2891842723,0.2255632281,0.3005355895,0.4766340256,0.4755961001,0.4153968692,0.4534831643,0.3720437288,0.2564797103,0.776419878,0.1864613295,0.2339534014,0.3265962899,0.1427436918,0.3659028113,0.4519895315,0.8440985084,0.4133249223,0.3243865371,0.3897081316,0.2410291135,0.2269357592,0.2024609745,0.3886955678,0.3726669848,0.2452509254,0.5095877647,0.5420876145,0.2393421382,0.6058335304,0.4134832323,0.289917469,0.2496942729,0.4116979837,0.5125871897,0.753675282,0.1035121679,0.2955372036,0.5504750013,0.439586997,0.6104761958,0.592654109,0.2444028705,0.2891399562,0.2592963278,0.3907697797,0.347975105,1.0448122025,0.5487705469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,relu3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,pool3,"1,64,45,45",,,"1,64,23,23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,conv4,"1,64,23,23","128,64,3,3",128,"1,128,23,23","3,3","1,1","1,1",290.554412842,170.549743652,0.1760475039,0.3284781873,0.3640311658,0.1326192915,0.35180673,0.1747792661,0.255551964,0.2771346569,0.1415015012,0.3447512686,0.1623026282,0.4612471461,0.2174507678,0.2677529156,0.2436359525,0.1857421994,0.3472111821,0.1977572143,0.2959148586,0.900013268,0.2118928581,0.4375289381,0.1578372866,0.2333442271,0.2419879138,0.3857828379,0.2542377114,0.2021069378,0.1582879424,0.1780397594,0.1844685972,0.2538335025,0.1713055521,0.0980222225,0.1296684891,0.2853822112,0.3496297896,0.3054195344,0.2869768441,0.2606498599,0.3101482391,0.2140239775,0.3634844422,0.17248106,0.2667746544,0.1416417062,0.2445926815,0.2279532701,0.2175668031,0.3229552507,0.236373648,0.2400593609,0.3629304171,0.1737584323,0.1819639504,0.1636398435,0.1534746438,0.2446713299,0.2282277495,0.1916642636,0.1941518188,0.1856081486,0.2924333215,0.2653397024,0.3376930952,0.1306958199,0.2194749713,0.2303378582,0.2759314477,0.3869262636,0.2488538921,0.5107070208,0.2988365591,0.1635889709,0.1956971586,0.2583366632,0.2431271225,0.1583066732,0.2731205523,0.3230030835,0.1726035476,0.3766134679,0.4116447568,0.3200469613,0.1909258068,0.1844711602,0.1080669388,0.2958044708,0.1767114848,0.3854542375,0.237430796,0.218217805,0.2757020295,0.2368976921,0.4466721714,0.8653103709,0.2282089144,0.1938642561,0.3622359335,0.2862906456,0.1599806249,0.1970947385,0.1669097096,0.3558791578,0.2193491906,0.2888966501,0.1154196262,0.1983704567,0.1343392283,0.1678424627,0.1916196793,0.2462313175,0.166696921,0.266025424,0.3567228317,0.2442759275,0.2735209763,0.1918937117,0.312151134,0.1105780154,0.2214093953,0.3297714293,0.8352560401,0.2101218849,0.1895550787,0.1794833988,0.2409366667,0.2130622268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,relu4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,pool4,"1,128,23,23",,,"1,128,12,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,conv5,"1,128,12,12","128,128,3,3",128,"1,128,12,12","3,3","1,1","1,1",170.549743652,91.9033966064,0.2667816281,0.264131546,0.1271739304,0.1097535789,0.231935814,0.3888741732,0.183197245,0.2773965597,0.2597887218,0.2845231593,0.4511452615,0.3015192747,0.2964521348,0.4412127435,0.1718706638,0.1370087117,0.1047246978,0.094265148,0.1610729247,0.1865032315,0.2498338223,0.1833672971,0.1759519428,0.3767895401,0.2089566737,0.1898138523,0.3581233621,0.3480045497,0.2398249358,0.1615134478,0.3098147213,0.2603018582,0.1592976451,0.2006639242,0.1921209395,0.2214139551,0.190730691,0.4281716347,0.2116777897,0.3375545144,0.1843772829,0.184273541,0.3248654902,0.0968527496,0.2884889245,0.4182960093,0.3432935178,0.2381992936,0.2966425717,0.3915508986,0.1778394729,0.2692570984,0.238290444,0.1797107756,0.2622878253,0.1560149044,0.1307152957,0.0950555503,0.1754005551,0.1935506463,0.1663771868,0.1686912477,0.243094027,0.2371890247,0.1701557189,0.1668682694,0.2786652446,0.1804337054,0.1273442507,0.2926813662,0.1800219268,0.6995103955,0.3383381665,0.3024684787,0.5414980054,0.1703582406,0.1869867146,0.1043955386,0.1954508275,0.2405964434,0.1901064217,0.171382457,0.2501187027,0.2267528623,0.1280551851,0.2196427137,0.1861053705,0.2042203099,0.2519372404,0.1098989099,0.2592916787,0.2032241523,0.6853936911,0.1138925701,0.5188490748,0.2564306259,0.2312596589,0.2344304472,0.346321702,0.1751811355,0.1755379885,0.3434048891,0.2653464675,0.1537697017,0.2473625541,0.2670892775,0.2840729654,0.3824199438,0.1780350804,0.1841662824,0.3229494393,0.1931372732,0.2150915712,0.2402372062,0.1667013913,0.1572941691,0.1935531944,0.1762671322,0.2472451776,0.2179252803,0.1479206681,0.3991045058,0.2234691083,0.31548509,0.2162990272,0.5598133206,0.1061246395,0.1708984077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,relu5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,pool5,"1,128,12,12",,,"1,128,6,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,conv6,"1,128,6,6","256,128,3,3",256,"1,256,6,6","3,3","1,1","1,1",91.9033966064,166.929290771,1.3774585724,1.0368577242,4.646463871,2.7214941979,0.9658851624,0.6070762873,2.0234491825,1.1201298237,0.5331902504,0.9476742744,1.7174077034,1.2223105431,1.5958951712,1.1959073544,1.3660107851,1.139410615,0.8530315757,1.1361204386,0.9773449302,2.9665265083,0.8781013489,1.4151057005,1.3020386696,1.4195160866,1.0455662012,2.3217513561,7.5865106583,1.0675483942,0.8654031754,1.6767311096,1.6466661692,1.192465663,3.9439618588,1.3261691332,0.6532415748,0.8873535395,1.31133461,1.1000291109,1.6114484072,1.4792830944,1.511803627,1.1973193884,0.6905639172,2.1763277054,1.1809689999,2.4599251747,1.3165638447,3.2514052391,1.3995472193,1.9826511145,1.7960685492,3.5425143242,1.764370203,1.5039037466,2.4545211792,1.1217870712,1.4463021755,1.8814601898,0.9608274102,1.3866117001,0.6703349948,1.0447237492,1.0318100452,2.5215849876,0.9430344105,0.8332574368,0.991994381,1.0744564533,1.0591642857,2.0142347813,0.4813865721,0.7421818376,0.7571104169,1.3680878878,1.3526536226,1.0396963358,1.4766016007,1.4453581572,2.6706185341,0.6538853645,1.0988268852,0.779553473,0.7504743934,1.0257140398,1.3043882847,0.6865186691,0.6887256503,1.0926975012,1.8112200499,0.9186233282,0.6100974679,2.6387188435,1.1872971058,1.0690076351,1.0886133909,0.5986503363,0.7474133968,0.9016328454,1.2946331501,1.0126982927,1.7201343775,1.0192152262,1.0881894827,1.3523879051,2.4147655964,0.6522744894,3.5730307102,0.8411210775,1.6413731575,2.5414552689,2.1987857819,0.840297401,2.0204713345,0.8072934747,1.3107824326,1.1396666765,1.2284573317,1.022429347,1.1010164022,3.6202726364,1.6740193367,1.1942071915,0.9291288853,0.9486211538,1.0520327091,1.3001818657,0.9149675965,1.356180191,1.4503455162,1.9247112274,1.0606633425,1.5260949135,3.0047895908,2.8125059605,1.8027211428,1.6525353193,1.5248613358,1.1195992231,0.61955899,1.520310998,1.4700591564,0.8208633661,1.320348978,0.9000946283,1.9884439707,1.3297362328,1.4564726353,0.9570028782,1.468800664,1.2267403603,1.0628497601,0.9417273402,0.7331278324,0.820248127,1.0206131935,0.7639574409,0.8795214295,1.8027876616,1.481978178,0.9664654732,1.0205719471,1.3198617697,1.0184013844,1.4906829596,1.4535168409,1.5229301453,0.6584779024,1.2045770884,0.9042172432,0.6872963309,1.3260006905,0.4573931694,1.068849206,1.3397603035,1.4262695313,1.4722979069,0.6054064035,0.9716878533,4.0970697403,0.8326742053,1.1379352808,1.0857012272,1.5663043261,1.3751767874,1.6395286322,3.0057859421,1.2971340418,1.1277234554,1.2034932375,0.666700244,1.1508555412,1.0459963083,1.1010415554,1.5802916288,1.2506253719,1.601513505,1.0848493576,1.1633888483,1.1517072916,0.8204078078,0.9327535033,1.0498795509,1.2135967016,1.0618401766,1.4420006275,1.1894696951,2.1129412651,0.9721721411,1.2013761997,1.0955832005,1.4724234343,1.4795851708,0.5601722002,1.0020384789,2.5232150555,1.1582936049,1.0385839939,0.9663866758,1.8630262613,0.7602478862,1.4260611534,1.7222476006,1.029373169,1.1978613138,1.8833708763,1.3459527493,1.3464375734,1.6527241468,1.001439929,1.8742637634,1.2907328606,0.8155097365,1.1040149927,0.8555467129,1.4497097731,2.3229849339,1.1920911074,0.7411254644,0.8742759824,1.1467506886,1.1658831835,1.9065659046,0.9929190874,0.9855541587,1.2908383608,0.948284328,1.1827709675,1.332611084,1.0612376928,0.8883495927,0.6429068446,0.7657855153,0.7936823964,1.2358031273,1.0654662848,2.3561778069
