Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', epochs=100, input_sz=112, lr=0.001, lr_factor=0.75, lr_steps='10,20,30,40,50,70', model='ResNet50_v2', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.655, loss: 0.609 | Val-acc: 0.768 | time: 11.8
[Epoch 1] Train-acc: 0.807, loss: 0.413 | Val-acc: 0.818 | time: 5.8
[Epoch 2] Train-acc: 0.854, loss: 0.341 | Val-acc: 0.858 | time: 5.7
[Epoch 3] Train-acc: 0.864, loss: 0.305 | Val-acc: 0.845 | time: 5.9
[Epoch 4] Train-acc: 0.880, loss: 0.278 | Val-acc: 0.874 | time: 5.8
[Epoch 5] Train-acc: 0.901, loss: 0.237 | Val-acc: 0.869 | time: 6.1
[Epoch 6] Train-acc: 0.896, loss: 0.232 | Val-acc: 0.872 | time: 6.0
[Epoch 7] Train-acc: 0.914, loss: 0.210 | Val-acc: 0.867 | time: 6.0
[Epoch 8] Train-acc: 0.914, loss: 0.205 | Val-acc: 0.871 | time: 6.1
[Epoch 9] Train-acc: 0.906, loss: 0.223 | Val-acc: 0.894 | time: 6.2
[Epoch 10] Train-acc: 0.930, loss: 0.173 | Val-acc: 0.885 | time: 5.9
[Epoch 11] Train-acc: 0.924, loss: 0.177 | Val-acc: 0.878 | time: 6.0
[Epoch 12] Train-acc: 0.931, loss: 0.165 | Val-acc: 0.901 | time: 5.9
[Epoch 13] Train-acc: 0.938, loss: 0.155 | Val-acc: 0.901 | time: 5.9
[Epoch 14] Train-acc: 0.943, loss: 0.141 | Val-acc: 0.901 | time: 6.0
[Epoch 15] Train-acc: 0.937, loss: 0.152 | Val-acc: 0.890 | time: 6.1
[Epoch 16] Train-acc: 0.936, loss: 0.144 | Val-acc: 0.897 | time: 6.0
[Epoch 17] Train-acc: 0.943, loss: 0.136 | Val-acc: 0.887 | time: 6.0
[Epoch 18] Train-acc: 0.945, loss: 0.136 | Val-acc: 0.899 | time: 6.0
[Epoch 19] Train-acc: 0.942, loss: 0.136 | Val-acc: 0.899 | time: 6.0
[Epoch 20] Train-acc: 0.947, loss: 0.130 | Val-acc: 0.885 | time: 5.9
[Epoch 21] Train-acc: 0.949, loss: 0.119 | Val-acc: 0.878 | time: 5.9
[Epoch 22] Train-acc: 0.956, loss: 0.107 | Val-acc: 0.888 | time: 5.8
[Epoch 23] Train-acc: 0.950, loss: 0.119 | Val-acc: 0.897 | time: 5.9
[Epoch 24] Train-acc: 0.949, loss: 0.124 | Val-acc: 0.896 | time: 5.9
[Epoch 25] Train-acc: 0.949, loss: 0.120 | Val-acc: 0.899 | time: 5.9
[Epoch 26] Train-acc: 0.957, loss: 0.109 | Val-acc: 0.899 | time: 6.1
[Epoch 27] Train-acc: 0.963, loss: 0.103 | Val-acc: 0.897 | time: 5.9
[Epoch 28] Train-acc: 0.962, loss: 0.093 | Val-acc: 0.905 | time: 5.9
[Epoch 29] Train-acc: 0.958, loss: 0.107 | Val-acc: 0.896 | time: 6.1
[Epoch 30] Train-acc: 0.955, loss: 0.115 | Val-acc: 0.894 | time: 5.8
[Epoch 31] Train-acc: 0.970, loss: 0.090 | Val-acc: 0.896 | time: 5.8
[Epoch 32] Train-acc: 0.962, loss: 0.101 | Val-acc: 0.894 | time: 5.9
[Epoch 33] Train-acc: 0.965, loss: 0.094 | Val-acc: 0.896 | time: 6.0
[Epoch 34] Train-acc: 0.961, loss: 0.090 | Val-acc: 0.896 | time: 5.9
[Epoch 35] Train-acc: 0.968, loss: 0.087 | Val-acc: 0.897 | time: 5.8
[Epoch 36] Train-acc: 0.965, loss: 0.088 | Val-acc: 0.892 | time: 5.8
[Epoch 37] Train-acc: 0.968, loss: 0.084 | Val-acc: 0.897 | time: 6.1
[Epoch 38] Train-acc: 0.963, loss: 0.104 | Val-acc: 0.896 | time: 5.8
[Epoch 39] Train-acc: 0.965, loss: 0.089 | Val-acc: 0.896 | time: 6.1
[Epoch 40] Train-acc: 0.966, loss: 0.081 | Val-acc: 0.899 | time: 6.0
[Epoch 41] Train-acc: 0.960, loss: 0.098 | Val-acc: 0.905 | time: 5.9
[Epoch 42] Train-acc: 0.975, loss: 0.071 | Val-acc: 0.906 | time: 5.8
[Epoch 43] Train-acc: 0.968, loss: 0.089 | Val-acc: 0.901 | time: 5.9
[Epoch 44] Train-acc: 0.969, loss: 0.080 | Val-acc: 0.905 | time: 5.8
[Epoch 45] Train-acc: 0.968, loss: 0.082 | Val-acc: 0.903 | time: 5.8
[Epoch 46] Train-acc: 0.973, loss: 0.076 | Val-acc: 0.890 | time: 5.7
[Epoch 47] Train-acc: 0.964, loss: 0.088 | Val-acc: 0.905 | time: 5.7
[Epoch 48] Train-acc: 0.971, loss: 0.081 | Val-acc: 0.897 | time: 6.2
[Epoch 49] Train-acc: 0.971, loss: 0.076 | Val-acc: 0.897 | time: 6.0
[Epoch 50] Train-acc: 0.972, loss: 0.078 | Val-acc: 0.901 | time: 6.0
[Epoch 51] Train-acc: 0.973, loss: 0.069 | Val-acc: 0.906 | time: 6.1
[Epoch 52] Train-acc: 0.973, loss: 0.075 | Val-acc: 0.903 | time: 6.2
[Epoch 53] Train-acc: 0.973, loss: 0.078 | Val-acc: 0.908 | time: 6.4
[Epoch 54] Train-acc: 0.969, loss: 0.084 | Val-acc: 0.897 | time: 5.9
