Namespace(batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float32', hard_weight=0.5, input_size=208, label_smoothing=True, last_gamma=False, log_interval=200, logging_file='arm_network_v5.2_train_imagenet.log', lr=0.05, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='arm_network_v5.2', momentum=0.9, no_wd=True, num_epochs=120, num_gpus=1, num_workers=8, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_frequency=10, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=False, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[1] Batch [599]	Speed: 1450.929428 samples/sec	accuracy=0.021966	lr=0.010600
Epoch[1] Batch [799]	Speed: 1436.725721 samples/sec	accuracy=0.022441	lr=0.010799
Epoch[1] Batch [999]	Speed: 1449.706799 samples/sec	accuracy=0.023242	lr=0.010999
Epoch[1] Batch [1199]	Speed: 1381.230609 samples/sec	accuracy=0.023633	lr=0.011199
Epoch[1] Batch [1399]	Speed: 1403.221282 samples/sec	accuracy=0.023951	lr=0.011399
Epoch[1] Batch [1599]	Speed: 1446.823043 samples/sec	accuracy=0.024497	lr=0.011599
Epoch[1] Batch [1799]	Speed: 1372.203634 samples/sec	accuracy=0.024870	lr=0.011799
Epoch[1] Batch [1999]	Speed: 1432.510669 samples/sec	accuracy=0.025391	lr=0.011998
Epoch[1] Batch [2199]	Speed: 1377.350278 samples/sec	accuracy=0.025891	lr=0.012198
Epoch[1] Batch [2399]	Speed: 1407.096104 samples/sec	accuracy=0.026250	lr=0.012398
Epoch[1] Batch [2599]	Speed: 1401.902277 samples/sec	accuracy=0.026575	lr=0.012598
Epoch[1] Batch [2799]	Speed: 1383.412287 samples/sec	accuracy=0.026992	lr=0.012798
Epoch[1] Batch [2999]	Speed: 1426.969521 samples/sec	accuracy=0.027401	lr=0.012998
Epoch[1] Batch [3199]	Speed: 1399.439055 samples/sec	accuracy=0.027639	lr=0.013197
Epoch[1] Batch [3399]	Speed: 1385.737756 samples/sec	accuracy=0.028081	lr=0.013397
Epoch[1] Batch [3599]	Speed: 1446.587343 samples/sec	accuracy=0.028548	lr=0.013597
Epoch[1] Batch [3799]	Speed: 1387.108642 samples/sec	accuracy=0.028995	lr=0.013797
Epoch[1] Batch [3999]	Speed: 1386.326153 samples/sec	accuracy=0.029484	lr=0.013997
Epoch[1] Batch [4199]	Speed: 1440.264572 samples/sec	accuracy=0.029948	lr=0.014197
Epoch[1] Batch [4399]	Speed: 1375.765529 samples/sec	accuracy=0.030337	lr=0.014396
Epoch[1] Batch [4599]	Speed: 1384.972908 samples/sec	accuracy=0.030774	lr=0.014596
Epoch[1] Batch [4799]	Speed: 1439.986046 samples/sec	accuracy=0.031232	lr=0.014796
Epoch[1] Batch [4999]	Speed: 1439.261803 samples/sec	accuracy=0.031706	lr=0.014996
Epoch[1] Batch [5199]	Speed: 1363.307853 samples/sec	accuracy=0.032203	lr=0.015196
Epoch[1] Batch [5399]	Speed: 1438.732391 samples/sec	accuracy=0.032632	lr=0.015395
Epoch[1] Batch [5599]	Speed: 1413.178271 samples/sec	accuracy=0.033045	lr=0.015595
Epoch[1] Batch [5799]	Speed: 1383.316294 samples/sec	accuracy=0.033498	lr=0.015795
Epoch[1] Batch [5999]	Speed: 1397.407360 samples/sec	accuracy=0.033892	lr=0.015995
Epoch[1] Batch [6199]	Speed: 1394.538849 samples/sec	accuracy=0.034366	lr=0.016195
Epoch[1] Batch [6399]	Speed: 1447.627361 samples/sec	accuracy=0.034755	lr=0.016395
Epoch[1] Batch [6599]	Speed: 1368.912082 samples/sec	accuracy=0.035246	lr=0.016594
Epoch[1] Batch [6799]	Speed: 1449.495205 samples/sec	accuracy=0.035728	lr=0.016794
Epoch[1] Batch [6999]	Speed: 1354.933368 samples/sec	accuracy=0.036260	lr=0.016994
Epoch[1] Batch [7199]	Speed: 1399.503534 samples/sec	accuracy=0.036796	lr=0.017194
Epoch[1] Batch [7399]	Speed: 1384.149860 samples/sec	accuracy=0.037260	lr=0.017394
Epoch[1] Batch [7599]	Speed: 1427.125915 samples/sec	accuracy=0.037677	lr=0.017594
Epoch[1] Batch [7799]	Speed: 1410.466756 samples/sec	accuracy=0.038083	lr=0.017793
Epoch[1] Batch [7999]	Speed: 1395.224319 samples/sec	accuracy=0.038518	lr=0.017993
Epoch[1] Batch [8199]	Speed: 1385.748862 samples/sec	accuracy=0.038979	lr=0.018193
Epoch[1] Batch [8399]	Speed: 1394.016773 samples/sec	accuracy=0.039469	lr=0.018393
Epoch[1] Batch [8599]	Speed: 1395.873171 samples/sec	accuracy=0.039955	lr=0.018593
Epoch[1] Batch [8799]	Speed: 1370.783632 samples/sec	accuracy=0.040414	lr=0.018792
Epoch[1] Batch [8999]	Speed: 1389.173254 samples/sec	accuracy=0.040820	lr=0.018992
Epoch[1] Batch [9199]	Speed: 1449.199484 samples/sec	accuracy=0.041275	lr=0.019192
Epoch[1] Batch [9399]	Speed: 1378.375559 samples/sec	accuracy=0.041706	lr=0.019392
Epoch[1] Batch [9599]	Speed: 1393.271145 samples/sec	accuracy=0.042162	lr=0.019592
Epoch[1] Batch [9799]	Speed: 1383.557264 samples/sec	accuracy=0.042609	lr=0.019792
Epoch[1] Batch [9999]	Speed: 1444.725251 samples/sec	accuracy=0.043097	lr=0.019991
[Epoch 1] training: accuracy=0.043120
[Epoch 1] speed: 1403 samples/sec	time cost: 938.744402
[Epoch 1] validation: err-top1=0.922280 err-top5=0.791780
Epoch[2] Batch [199]	Speed: 1310.251336 samples/sec	accuracy=0.069023	lr=0.020200
Epoch[2] Batch [399]	Speed: 1373.466302 samples/sec	accuracy=0.069199	lr=0.020400
Epoch[2] Batch [599]	Speed: 1381.165155 samples/sec	accuracy=0.070260	lr=0.020600
Epoch[2] Batch [799]	Speed: 1395.511587 samples/sec	accuracy=0.071045	lr=0.020800
Epoch[2] Batch [999]	Speed: 1390.596728 samples/sec	accuracy=0.071367	lr=0.021000
Epoch[2] Batch [1199]	Speed: 1405.605087 samples/sec	accuracy=0.071426	lr=0.021199
Epoch[2] Batch [1399]	Speed: 1409.838274 samples/sec	accuracy=0.071802	lr=0.021399
Epoch[2] Batch [1599]	Speed: 1440.420899 samples/sec	accuracy=0.072402	lr=0.021599
Epoch[2] Batch [1799]	Speed: 1384.328169 samples/sec	accuracy=0.072552	lr=0.021799
Epoch[2] Batch [1999]	Speed: 1448.842378 samples/sec	accuracy=0.072945	lr=0.021999
Epoch[2] Batch [2199]	Speed: 1380.702806 samples/sec	accuracy=0.073590	lr=0.022198
Epoch[2] Batch [2399]	Speed: 1448.008023 samples/sec	accuracy=0.073825	lr=0.022398
Epoch[2] Batch [2599]	Speed: 1451.482749 samples/sec	accuracy=0.074330	lr=0.022598
Epoch[2] Batch [2799]	Speed: 1384.454167 samples/sec	accuracy=0.074900	lr=0.022798
Epoch[2] Batch [2999]	Speed: 1381.447107 samples/sec	accuracy=0.075492	lr=0.022998
Epoch[2] Batch [3199]	Speed: 1444.280316 samples/sec	accuracy=0.075989	lr=0.023198
Epoch[2] Batch [3399]	Speed: 1392.496228 samples/sec	accuracy=0.076540	lr=0.023397
Epoch[2] Batch [3599]	Speed: 1417.413575 samples/sec	accuracy=0.077112	lr=0.023597
Epoch[2] Batch [3799]	Speed: 1370.936547 samples/sec	accuracy=0.077549	lr=0.023797
Epoch[2] Batch [3999]	Speed: 1378.825072 samples/sec	accuracy=0.077930	lr=0.023997
Epoch[2] Batch [4199]	Speed: 1380.422720 samples/sec	accuracy=0.078441	lr=0.024197
Epoch[2] Batch [4399]	Speed: 1342.761751 samples/sec	accuracy=0.078935	lr=0.024397
Epoch[2] Batch [4599]	Speed: 1437.577954 samples/sec	accuracy=0.079547	lr=0.024596
Epoch[2] Batch [4799]	Speed: 1394.793602 samples/sec	accuracy=0.080000	lr=0.024796
Epoch[2] Batch [4999]	Speed: 1430.909765 samples/sec	accuracy=0.080503	lr=0.024996
Epoch[2] Batch [5199]	Speed: 1389.893739 samples/sec	accuracy=0.081119	lr=0.025196
Epoch[2] Batch [5399]	Speed: 1416.182050 samples/sec	accuracy=0.081560	lr=0.025396
Epoch[2] Batch [5599]	Speed: 1397.923990 samples/sec	accuracy=0.081999	lr=0.025595
Epoch[2] Batch [5799]	Speed: 1443.509655 samples/sec	accuracy=0.082355	lr=0.025795
Epoch[2] Batch [5999]	Speed: 1388.310437 samples/sec	accuracy=0.082858	lr=0.025995
Epoch[2] Batch [6199]	Speed: 1407.106153 samples/sec	accuracy=0.083256	lr=0.026195
Epoch[2] Batch [6399]	Speed: 1430.934860 samples/sec	accuracy=0.083662	lr=0.026395
Epoch[2] Batch [6599]	Speed: 1457.279836 samples/sec	accuracy=0.084144	lr=0.026595
Epoch[2] Batch [6799]	Speed: 1419.420118 samples/sec	accuracy=0.084520	lr=0.026794
Epoch[2] Batch [6999]	Speed: 1413.622131 samples/sec	accuracy=0.084958	lr=0.026994
Epoch[2] Batch [7199]	Speed: 1421.394265 samples/sec	accuracy=0.085438	lr=0.027194
Epoch[2] Batch [7399]	Speed: 1392.081343 samples/sec	accuracy=0.085889	lr=0.027394
Epoch[2] Batch [7599]	Speed: 1457.392422 samples/sec	accuracy=0.086349	lr=0.027594
Epoch[2] Batch [7799]	Speed: 1395.777600 samples/sec	accuracy=0.086794	lr=0.027794
Epoch[2] Batch [7999]	Speed: 1396.189118 samples/sec	accuracy=0.087176	lr=0.027993
Epoch[2] Batch [8199]	Speed: 1389.038167 samples/sec	accuracy=0.087654	lr=0.028193
Epoch[2] Batch [8399]	Speed: 1462.066973 samples/sec	accuracy=0.088082	lr=0.028393
Epoch[2] Batch [8599]	Speed: 1395.146004 samples/sec	accuracy=0.088458	lr=0.028593
Epoch[2] Batch [8799]	Speed: 1459.769604 samples/sec	accuracy=0.088892	lr=0.028793
Epoch[2] Batch [8999]	Speed: 1383.744444 samples/sec	accuracy=0.089292	lr=0.028992
Epoch[2] Batch [9199]	Speed: 1435.498039 samples/sec	accuracy=0.089678	lr=0.029192
Epoch[2] Batch [9399]	Speed: 1376.158451 samples/sec	accuracy=0.090153	lr=0.029392
Epoch[2] Batch [9599]	Speed: 1439.918575 samples/sec	accuracy=0.090564	lr=0.029592
Epoch[2] Batch [9799]	Speed: 1391.955000 samples/sec	accuracy=0.091026	lr=0.029792
Epoch[2] Batch [9999]	Speed: 1459.575280 samples/sec	accuracy=0.091409	lr=0.029992
[Epoch 2] training: accuracy=0.091424
[Epoch 2] speed: 1407 samples/sec	time cost: 935.483352
[Epoch 2] validation: err-top1=0.891200 err-top5=0.737500
Epoch[3] Batch [199]	Speed: 1326.343638 samples/sec	accuracy=0.109297	lr=0.030200
Epoch[3] Batch [399]	Speed: 1400.505681 samples/sec	accuracy=0.110293	lr=0.030400
Epoch[3] Batch [599]	Speed: 1349.651600 samples/sec	accuracy=0.111159	lr=0.030600
Epoch[3] Batch [799]	Speed: 1403.078095 samples/sec	accuracy=0.111523	lr=0.030800
Epoch[3] Batch [999]	Speed: 1438.942088 samples/sec	accuracy=0.111508	lr=0.031000
Epoch[3] Batch [1199]	Speed: 1386.225944 samples/sec	accuracy=0.112311	lr=0.031200
Epoch[3] Batch [1399]	Speed: 1396.698415 samples/sec	accuracy=0.112829	lr=0.031399
Epoch[3] Batch [1599]	Speed: 1398.809572 samples/sec	accuracy=0.113745	lr=0.031599
Epoch[3] Batch [1799]	Speed: 1456.486471 samples/sec	accuracy=0.113997	lr=0.031799
Epoch[3] Batch [1999]	Speed: 1441.850533 samples/sec	accuracy=0.114359	lr=0.031999
Epoch[3] Batch [2199]	Speed: 1399.052744 samples/sec	accuracy=0.114826	lr=0.032199
Epoch[3] Batch [2399]	Speed: 1429.509861 samples/sec	accuracy=0.115186	lr=0.032398
Epoch[3] Batch [2599]	Speed: 1398.088499 samples/sec	accuracy=0.115481	lr=0.032598
Epoch[3] Batch [2799]	Speed: 1445.224341 samples/sec	accuracy=0.115734	lr=0.032798
Epoch[3] Batch [2999]	Speed: 1394.809800 samples/sec	accuracy=0.115940	lr=0.032998
Epoch[3] Batch [3199]	Speed: 1388.976966 samples/sec	accuracy=0.116064	lr=0.033198
Epoch[3] Batch [3399]	Speed: 1440.510062 samples/sec	accuracy=0.116583	lr=0.033398
Epoch[3] Batch [3599]	Speed: 1401.046651 samples/sec	accuracy=0.116855	lr=0.033597
Epoch[3] Batch [3799]	Speed: 1401.229999 samples/sec	accuracy=0.117303	lr=0.033797
Epoch[3] Batch [3999]	Speed: 1407.406600 samples/sec	accuracy=0.117629	lr=0.033997
Epoch[3] Batch [4199]	Speed: 1451.359068 samples/sec	accuracy=0.117907	lr=0.034197
Epoch[3] Batch [4399]	Speed: 1381.516231 samples/sec	accuracy=0.118168	lr=0.034397
Epoch[3] Batch [4599]	Speed: 1428.645419 samples/sec	accuracy=0.118551	lr=0.034597
Epoch[3] Batch [4799]	Speed: 1452.366806 samples/sec	accuracy=0.118784	lr=0.034796
Epoch[3] Batch [4999]	Speed: 1410.851611 samples/sec	accuracy=0.119083	lr=0.034996
Epoch[3] Batch [5199]	Speed: 1402.434417 samples/sec	accuracy=0.119307	lr=0.035196
Epoch[3] Batch [5399]	Speed: 1403.344048 samples/sec	accuracy=0.119657	lr=0.035396
Epoch[3] Batch [5599]	Speed: 1409.323771 samples/sec	accuracy=0.119950	lr=0.035596
Epoch[3] Batch [5799]	Speed: 1416.029689 samples/sec	accuracy=0.120251	lr=0.035795
Epoch[3] Batch [5999]	Speed: 1389.162399 samples/sec	accuracy=0.120535	lr=0.035995
Epoch[3] Batch [6199]	Speed: 1414.950874 samples/sec	accuracy=0.120760	lr=0.036195
Epoch[3] Batch [6399]	Speed: 1431.375063 samples/sec	accuracy=0.121006	lr=0.036395
Epoch[3] Batch [6599]	Speed: 1399.183642 samples/sec	accuracy=0.121328	lr=0.036595
Epoch[3] Batch [6799]	Speed: 1458.536040 samples/sec	accuracy=0.121526	lr=0.036795
Epoch[3] Batch [6999]	Speed: 1398.972631 samples/sec	accuracy=0.121753	lr=0.036994
Epoch[3] Batch [7199]	Speed: 1450.520598 samples/sec	accuracy=0.122028	lr=0.037194
Epoch[3] Batch [7399]	Speed: 1391.762868 samples/sec	accuracy=0.122294	lr=0.037394
Epoch[3] Batch [7599]	Speed: 1398.773491 samples/sec	accuracy=0.122587	lr=0.037594
Epoch[3] Batch [7799]	Speed: 1389.760958 samples/sec	accuracy=0.122958	lr=0.037794
Epoch[3] Batch [7999]	Speed: 1460.255631 samples/sec	accuracy=0.123152	lr=0.037994
Epoch[3] Batch [8199]	Speed: 1390.142532 samples/sec	accuracy=0.123418	lr=0.038193
Epoch[3] Batch [8399]	Speed: 1458.568711 samples/sec	accuracy=0.123712	lr=0.038393
Epoch[3] Batch [8599]	Speed: 1449.850735 samples/sec	accuracy=0.123926	lr=0.038593
Epoch[3] Batch [8799]	Speed: 1391.867904 samples/sec	accuracy=0.124254	lr=0.038793
Epoch[3] Batch [8999]	Speed: 1411.950286 samples/sec	accuracy=0.124530	lr=0.038993
Epoch[3] Batch [9199]	Speed: 1422.611390 samples/sec	accuracy=0.124840	lr=0.039193
Epoch[3] Batch [9399]	Speed: 1400.957481 samples/sec	accuracy=0.125097	lr=0.039392
Epoch[3] Batch [9599]	Speed: 1384.282945 samples/sec	accuracy=0.125320	lr=0.039592
Epoch[3] Batch [9799]	Speed: 1453.331094 samples/sec	accuracy=0.125613	lr=0.039792
Epoch[3] Batch [9999]	Speed: 1396.758299 samples/sec	accuracy=0.125762	lr=0.039992
[Epoch 3] training: accuracy=0.125773
[Epoch 3] speed: 1411 samples/sec	time cost: 933.608042
[Epoch 3] validation: err-top1=0.855320 err-top5=0.673120
Epoch[4] Batch [199]	Speed: 1334.559116 samples/sec	accuracy=0.134844	lr=0.040201
Epoch[4] Batch [399]	Speed: 1393.178100 samples/sec	accuracy=0.136074	lr=0.040400
Epoch[4] Batch [599]	Speed: 1459.309029 samples/sec	accuracy=0.137214	lr=0.040600
Epoch[4] Batch [799]	Speed: 1420.006224 samples/sec	accuracy=0.138037	lr=0.040800
Epoch[4] Batch [999]	Speed: 1411.420697 samples/sec	accuracy=0.138250	lr=0.041000
Epoch[4] Batch [1199]	Speed: 1446.342136 samples/sec	accuracy=0.139362	lr=0.041200
Epoch[4] Batch [1399]	Speed: 1403.264580 samples/sec	accuracy=0.139515	lr=0.041400
Epoch[4] Batch [1599]	Speed: 1442.574458 samples/sec	accuracy=0.139980	lr=0.041599
