Namespace(batch_size=128, input_sz=112, log_interval=200, lr=0.01, lr_decay=0.75, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,1000', lr_decay_period=0, lr_mode='step', model='arm_network_v3.5.2', momentum=0.9, num_class=2, num_epochs=1500, num_gpus=1, num_workers=6, resume_epoch=0, resume_params='arm_network_v3.5.2_112_8831/ImageNet_v3.5.2_3440.params', resume_states='', save_frequency=5, warmup_epochs=0, wd=0.0001)
[Epoch 32] Train-acc: 0.905, loss: 0.228 | Val-acc-top1: 0.939 | Val-acc-top5: 1.000 | time: 9.6 | Speed: 177.83 samples/sec | lr: 0.00421875
[Epoch 33] Train-acc: 0.911, loss: 0.235 | Val-acc-top1: 0.939 | Val-acc-top5: 1.000 | time: 9.5 | Speed: 178.96 samples/sec | lr: 0.00421875
[Epoch 34] Train-acc: 0.901, loss: 0.233 | Val-acc-top1: 0.935 | Val-acc-top5: 1.000 | time: 9.0 | Speed: 188.63 samples/sec | lr: 0.00421875
[Epoch 35] Train-acc: 0.903, loss: 0.237 | Val-acc-top1: 0.939 | Val-acc-top5: 1.000 | time: 8.8 | Speed: 193.87 samples/sec | lr: 0.00421875
[Epoch 36] Train-acc: 0.910, loss: 0.239 | Val-acc-top1: 0.946 | Val-acc-top5: 1.000 | time: 8.9 | Speed: 190.76 samples/sec | lr: 0.00421875
[Epoch 37] Train-acc: 0.907, loss: 0.227 | Val-acc-top1: 0.949 | Val-acc-top5: 1.000 | time: 8.9 | Speed: 190.90 samples/sec | lr: 0.00316406
[Epoch 38] Train-acc: 0.901, loss: 0.243 | Val-acc-top1: 0.932 | Val-acc-top5: 1.000 | time: 9.3 | Speed: 182.29 samples/sec | lr: 0.00316406
[Epoch 39] Train-acc: 0.912, loss: 0.218 | Val-acc-top1: 0.939 | Val-acc-top5: 1.000 | time: 9.2 | Speed: 185.27 samples/sec | lr: 0.00316406
[Epoch 40] Train-acc: 0.909, loss: 0.226 | Val-acc-top1: 0.944 | Val-acc-top5: 1.000 | time: 8.9 | Speed: 192.00 samples/sec | lr: 0.00316406
[Epoch 41] Train-acc: 0.924, loss: 0.198 | Val-acc-top1: 0.956 | Val-acc-top5: 1.000 | time: 9.0 | Speed: 189.40 samples/sec | lr: 0.00316406
