Namespace(batch_size=32, dtype='float32', hard_weight=0.5, input_sz=200, label_smoothing=True, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='arm_network_v5.1', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.540, loss: 0.712 | Val-acc-top1: 0.604 | time: 4.2 | Speed: 405.04 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.552, loss: 0.694 | Val-acc-top1: 0.600 | time: 1.9 | Speed: 910.88 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.599, loss: 0.671 | Val-acc-top1: 0.597 | time: 1.9 | Speed: 891.35 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.610, loss: 0.672 | Val-acc-top1: 0.630 | time: 1.9 | Speed: 901.02 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.598, loss: 0.673 | Val-acc-top1: 0.569 | time: 1.9 | Speed: 894.76 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.594, loss: 0.666 | Val-acc-top1: 0.658 | time: 1.9 | Speed: 909.86 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.625, loss: 0.664 | Val-acc-top1: 0.590 | time: 1.9 | Speed: 881.95 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.644, loss: 0.649 | Val-acc-top1: 0.590 | time: 1.9 | Speed: 893.32 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.662, loss: 0.641 | Val-acc-top1: 0.677 | time: 1.9 | Speed: 900.74 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.641, loss: 0.642 | Val-acc-top1: 0.658 | time: 1.9 | Speed: 911.09 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.674, loss: 0.625 | Val-acc-top1: 0.733 | time: 1.9 | Speed: 897.89 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.678, loss: 0.631 | Val-acc-top1: 0.681 | time: 2.0 | Speed: 851.90 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.690, loss: 0.616 | Val-acc-top1: 0.672 | time: 1.9 | Speed: 908.99 samples/sec | lr: 0.00700000
[Epoch 13] Train-acc: 0.690, loss: 0.622 | Val-acc-top1: 0.637 | time: 1.9 | Speed: 893.81 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.665, loss: 0.623 | Val-acc-top1: 0.642 | time: 1.9 | Speed: 903.85 samples/sec | lr: 0.00700000
[Epoch 15] Train-acc: 0.699, loss: 0.609 | Val-acc-top1: 0.672 | time: 1.9 | Speed: 893.34 samples/sec | lr: 0.00700000
[Epoch 16] Train-acc: 0.691, loss: 0.610 | Val-acc-top1: 0.663 | time: 1.9 | Speed: 885.54 samples/sec | lr: 0.00700000
[Epoch 17] Train-acc: 0.694, loss: 0.607 | Val-acc-top1: 0.700 | time: 1.9 | Speed: 888.19 samples/sec | lr: 0.00700000
[Epoch 18] Train-acc: 0.696, loss: 0.607 | Val-acc-top1: 0.721 | time: 2.0 | Speed: 855.68 samples/sec | lr: 0.00700000
[Epoch 19] Train-acc: 0.707, loss: 0.602 | Val-acc-top1: 0.679 | time: 1.9 | Speed: 897.52 samples/sec | lr: 0.00490000
[Epoch 20] Train-acc: 0.694, loss: 0.608 | Val-acc-top1: 0.731 | time: 1.9 | Speed: 871.25 samples/sec | lr: 0.00490000
[Epoch 21] Train-acc: 0.709, loss: 0.591 | Val-acc-top1: 0.719 | time: 1.9 | Speed: 878.34 samples/sec | lr: 0.00490000
[Epoch 22] Train-acc: 0.708, loss: 0.593 | Val-acc-top1: 0.710 | time: 2.0 | Speed: 865.63 samples/sec | lr: 0.00490000
[Epoch 23] Train-acc: 0.707, loss: 0.600 | Val-acc-top1: 0.733 | time: 2.0 | Speed: 828.09 samples/sec | lr: 0.00490000
[Epoch 24] Train-acc: 0.708, loss: 0.600 | Val-acc-top1: 0.742 | time: 1.9 | Speed: 884.02 samples/sec | lr: 0.00490000
