Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', epochs=100, input_sz=112, lr=0.001, lr_factor=0.75, lr_steps='10,20,30,40,50,70', model='resnet18_v2', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.636, loss: 0.752 | Val-acc: 0.768 | time: 5.8
[Epoch 1] Train-acc: 0.807, loss: 0.416 | Val-acc: 0.761 | time: 4.4
[Epoch 2] Train-acc: 0.837, loss: 0.375 | Val-acc: 0.813 | time: 4.5
[Epoch 3] Train-acc: 0.859, loss: 0.316 | Val-acc: 0.829 | time: 4.5
[Epoch 4] Train-acc: 0.865, loss: 0.317 | Val-acc: 0.826 | time: 4.3
[Epoch 5] Train-acc: 0.881, loss: 0.292 | Val-acc: 0.853 | time: 4.5
[Epoch 6] Train-acc: 0.880, loss: 0.273 | Val-acc: 0.867 | time: 4.4
[Epoch 7] Train-acc: 0.889, loss: 0.257 | Val-acc: 0.853 | time: 4.5
[Epoch 8] Train-acc: 0.899, loss: 0.245 | Val-acc: 0.853 | time: 4.4
[Epoch 9] Train-acc: 0.912, loss: 0.223 | Val-acc: 0.854 | time: 4.5
[Epoch 10] Train-acc: 0.910, loss: 0.207 | Val-acc: 0.863 | time: 4.6
[Epoch 11] Train-acc: 0.904, loss: 0.238 | Val-acc: 0.815 | time: 4.4
[Epoch 12] Train-acc: 0.902, loss: 0.232 | Val-acc: 0.863 | time: 4.4
[Epoch 13] Train-acc: 0.915, loss: 0.206 | Val-acc: 0.867 | time: 4.4
[Epoch 14] Train-acc: 0.928, loss: 0.173 | Val-acc: 0.865 | time: 4.4
[Epoch 15] Train-acc: 0.920, loss: 0.193 | Val-acc: 0.871 | time: 4.4
[Epoch 16] Train-acc: 0.921, loss: 0.192 | Val-acc: 0.865 | time: 4.4
[Epoch 17] Train-acc: 0.931, loss: 0.155 | Val-acc: 0.858 | time: 4.4
[Epoch 18] Train-acc: 0.924, loss: 0.186 | Val-acc: 0.851 | time: 4.5
[Epoch 19] Train-acc: 0.940, loss: 0.163 | Val-acc: 0.871 | time: 4.3
[Epoch 20] Train-acc: 0.938, loss: 0.169 | Val-acc: 0.869 | time: 4.3
[Epoch 21] Train-acc: 0.940, loss: 0.161 | Val-acc: 0.869 | time: 4.4
[Epoch 22] Train-acc: 0.937, loss: 0.170 | Val-acc: 0.876 | time: 4.3
[Epoch 23] Train-acc: 0.935, loss: 0.152 | Val-acc: 0.858 | time: 4.3
[Epoch 24] Train-acc: 0.945, loss: 0.150 | Val-acc: 0.872 | time: 4.4
[Epoch 25] Train-acc: 0.935, loss: 0.150 | Val-acc: 0.862 | time: 4.5
[Epoch 26] Train-acc: 0.938, loss: 0.150 | Val-acc: 0.887 | time: 4.4
[Epoch 27] Train-acc: 0.946, loss: 0.143 | Val-acc: 0.865 | time: 4.4
[Epoch 28] Train-acc: 0.942, loss: 0.152 | Val-acc: 0.872 | time: 4.4
[Epoch 29] Train-acc: 0.937, loss: 0.151 | Val-acc: 0.863 | time: 4.4
[Epoch 30] Train-acc: 0.946, loss: 0.132 | Val-acc: 0.869 | time: 4.5
[Epoch 31] Train-acc: 0.947, loss: 0.134 | Val-acc: 0.869 | time: 4.5
[Epoch 32] Train-acc: 0.953, loss: 0.136 | Val-acc: 0.878 | time: 4.5
[Epoch 33] Train-acc: 0.949, loss: 0.129 | Val-acc: 0.876 | time: 4.5
[Epoch 34] Train-acc: 0.941, loss: 0.141 | Val-acc: 0.871 | time: 4.4
[Epoch 35] Train-acc: 0.947, loss: 0.129 | Val-acc: 0.869 | time: 4.4
[Epoch 36] Train-acc: 0.941, loss: 0.144 | Val-acc: 0.869 | time: 4.4
[Epoch 37] Train-acc: 0.949, loss: 0.127 | Val-acc: 0.851 | time: 4.4
[Epoch 38] Train-acc: 0.943, loss: 0.137 | Val-acc: 0.876 | time: 4.4
[Epoch 39] Train-acc: 0.948, loss: 0.133 | Val-acc: 0.858 | time: 4.4
[Epoch 40] Train-acc: 0.952, loss: 0.126 | Val-acc: 0.867 | time: 4.6
[Epoch 41] Train-acc: 0.949, loss: 0.135 | Val-acc: 0.876 | time: 4.3
[Epoch 42] Train-acc: 0.955, loss: 0.121 | Val-acc: 0.867 | time: 4.4
[Epoch 43] Train-acc: 0.954, loss: 0.124 | Val-acc: 0.872 | time: 4.2
