Namespace(batch_size=128, input_sz=112, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', model='arm_network_v3.4', momentum=0.9, num_class=2, num_epochs=2000, num_gpus=1, num_workers=6, resume_epoch=0, resume_params='pretrained/ImageNet_v3.4_3452.params', resume_states='', save_frequency=10, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.652, loss: 1.624 | Val-acc-top1: 0.622 | time: 2.1 | Speed: 1069.61 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.742, loss: 0.604 | Val-acc-top1: 0.667 | time: 1.5 | Speed: 1423.73 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.774, loss: 0.503 | Val-acc-top1: 0.734 | time: 1.6 | Speed: 1395.08 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.815, loss: 0.414 | Val-acc-top1: 0.788 | time: 1.6 | Speed: 1387.83 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.820, loss: 0.399 | Val-acc-top1: 0.786 | time: 1.6 | Speed: 1385.96 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.834, loss: 0.395 | Val-acc-top1: 0.714 | time: 1.6 | Speed: 1381.77 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.825, loss: 0.374 | Val-acc-top1: 0.791 | time: 1.6 | Speed: 1406.77 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.834, loss: 0.369 | Val-acc-top1: 0.734 | time: 1.5 | Speed: 1430.73 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.851, loss: 0.369 | Val-acc-top1: 0.701 | time: 1.6 | Speed: 1395.61 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.841, loss: 0.369 | Val-acc-top1: 0.815 | time: 1.5 | Speed: 1419.93 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.832, loss: 0.370 | Val-acc-top1: 0.788 | time: 1.6 | Speed: 1403.67 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.845, loss: 0.335 | Val-acc-top1: 0.773 | time: 1.6 | Speed: 1388.99 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.855, loss: 0.320 | Val-acc-top1: 0.817 | time: 1.6 | Speed: 1373.59 samples/sec | lr: 0.00700000
[Epoch 13] Train-acc: 0.860, loss: 0.319 | Val-acc-top1: 0.804 | time: 1.6 | Speed: 1365.36 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.858, loss: 0.322 | Val-acc-top1: 0.745 | time: 1.6 | Speed: 1376.06 samples/sec | lr: 0.00700000
[Epoch 15] Train-acc: 0.869, loss: 0.304 | Val-acc-top1: 0.809 | time: 1.6 | Speed: 1387.06 samples/sec | lr: 0.00700000
[Epoch 16] Train-acc: 0.865, loss: 0.322 | Val-acc-top1: 0.826 | time: 1.6 | Speed: 1402.88 samples/sec | lr: 0.00700000
[Epoch 17] Train-acc: 0.882, loss: 0.282 | Val-acc-top1: 0.833 | time: 1.6 | Speed: 1375.37 samples/sec | lr: 0.00700000
[Epoch 18] Train-acc: 0.881, loss: 0.280 | Val-acc-top1: 0.766 | time: 1.6 | Speed: 1339.78 samples/sec | lr: 0.00490000
[Epoch 19] Train-acc: 0.877, loss: 0.294 | Val-acc-top1: 0.840 | time: 1.6 | Speed: 1357.69 samples/sec | lr: 0.00490000
[Epoch 20] Train-acc: 0.877, loss: 0.283 | Val-acc-top1: 0.835 | time: 1.6 | Speed: 1393.15 samples/sec | lr: 0.00490000
[Epoch 21] Train-acc: 0.877, loss: 0.284 | Val-acc-top1: 0.743 | time: 1.6 | Speed: 1379.87 samples/sec | lr: 0.00490000
[Epoch 22] Train-acc: 0.878, loss: 0.295 | Val-acc-top1: 0.784 | time: 1.6 | Speed: 1396.54 samples/sec | lr: 0.00490000
[Epoch 23] Train-acc: 0.891, loss: 0.268 | Val-acc-top1: 0.788 | time: 1.6 | Speed: 1358.67 samples/sec | lr: 0.00490000
[Epoch 24] Train-acc: 0.891, loss: 0.250 | Val-acc-top1: 0.824 | time: 1.6 | Speed: 1365.46 samples/sec | lr: 0.00490000
[Epoch 25] Train-acc: 0.888, loss: 0.271 | Val-acc-top1: 0.829 | time: 1.6 | Speed: 1385.14 samples/sec | lr: 0.00490000
[Epoch 26] Train-acc: 0.868, loss: 0.276 | Val-acc-top1: 0.829 | time: 1.6 | Speed: 1402.09 samples/sec | lr: 0.00490000
[Epoch 27] Train-acc: 0.880, loss: 0.273 | Val-acc-top1: 0.849 | time: 1.6 | Speed: 1417.18 samples/sec | lr: 0.00490000
[Epoch 28] Train-acc: 0.886, loss: 0.283 | Val-acc-top1: 0.824 | time: 1.6 | Speed: 1382.71 samples/sec | lr: 0.00343000
[Epoch 29] Train-acc: 0.886, loss: 0.276 | Val-acc-top1: 0.833 | time: 1.6 | Speed: 1370.63 samples/sec | lr: 0.00343000
[Epoch 30] Train-acc: 0.896, loss: 0.253 | Val-acc-top1: 0.838 | time: 1.6 | Speed: 1391.39 samples/sec | lr: 0.00343000
[Epoch 31] Train-acc: 0.891, loss: 0.255 | Val-acc-top1: 0.797 | time: 1.6 | Speed: 1374.16 samples/sec | lr: 0.00343000
[Epoch 32] Train-acc: 0.884, loss: 0.268 | Val-acc-top1: 0.836 | time: 1.6 | Speed: 1374.76 samples/sec | lr: 0.00343000
[Epoch 33] Train-acc: 0.899, loss: 0.232 | Val-acc-top1: 0.840 | time: 1.5 | Speed: 1419.54 samples/sec | lr: 0.00343000
[Epoch 34] Train-acc: 0.894, loss: 0.263 | Val-acc-top1: 0.831 | time: 1.6 | Speed: 1336.57 samples/sec | lr: 0.00343000
[Epoch 35] Train-acc: 0.892, loss: 0.254 | Val-acc-top1: 0.822 | time: 1.6 | Speed: 1394.61 samples/sec | lr: 0.00343000
[Epoch 36] Train-acc: 0.884, loss: 0.268 | Val-acc-top1: 0.840 | time: 1.6 | Speed: 1366.43 samples/sec | lr: 0.00343000
[Epoch 37] Train-acc: 0.893, loss: 0.245 | Val-acc-top1: 0.833 | time: 1.6 | Speed: 1352.18 samples/sec | lr: 0.00240100
[Epoch 38] Train-acc: 0.897, loss: 0.251 | Val-acc-top1: 0.808 | time: 1.6 | Speed: 1391.75 samples/sec | lr: 0.00240100
[Epoch 39] Train-acc: 0.896, loss: 0.251 | Val-acc-top1: 0.817 | time: 1.6 | Speed: 1391.25 samples/sec | lr: 0.00240100
[Epoch 40] Train-acc: 0.898, loss: 0.238 | Val-acc-top1: 0.829 | time: 1.6 | Speed: 1347.88 samples/sec | lr: 0.00240100
[Epoch 41] Train-acc: 0.900, loss: 0.227 | Val-acc-top1: 0.849 | time: 1.6 | Speed: 1339.09 samples/sec | lr: 0.00240100
[Epoch 42] Train-acc: 0.902, loss: 0.231 | Val-acc-top1: 0.831 | time: 1.6 | Speed: 1384.70 samples/sec | lr: 0.00240100
[Epoch 43] Train-acc: 0.898, loss: 0.246 | Val-acc-top1: 0.840 | time: 1.6 | Speed: 1400.16 samples/sec | lr: 0.00240100
[Epoch 44] Train-acc: 0.904, loss: 0.233 | Val-acc-top1: 0.840 | time: 1.5 | Speed: 1440.25 samples/sec | lr: 0.00240100
[Epoch 45] Train-acc: 0.890, loss: 0.247 | Val-acc-top1: 0.853 | time: 1.6 | Speed: 1383.93 samples/sec | lr: 0.00240100
[Epoch 46] Train-acc: 0.895, loss: 0.234 | Val-acc-top1: 0.867 | time: 1.6 | Speed: 1393.87 samples/sec | lr: 0.00240100
[Epoch 47] Train-acc: 0.904, loss: 0.227 | Val-acc-top1: 0.842 | time: 1.6 | Speed: 1409.58 samples/sec | lr: 0.00168070
[Epoch 48] Train-acc: 0.909, loss: 0.220 | Val-acc-top1: 0.849 | time: 1.6 | Speed: 1347.36 samples/sec | lr: 0.00168070
[Epoch 49] Train-acc: 0.907, loss: 0.216 | Val-acc-top1: 0.842 | time: 1.6 | Speed: 1389.95 samples/sec | lr: 0.00168070
[Epoch 50] Train-acc: 0.899, loss: 0.222 | Val-acc-top1: 0.822 | time: 1.6 | Speed: 1365.17 samples/sec | lr: 0.00168070
[Epoch 51] Train-acc: 0.906, loss: 0.230 | Val-acc-top1: 0.845 | time: 1.6 | Speed: 1358.26 samples/sec | lr: 0.00168070
[Epoch 52] Train-acc: 0.895, loss: 0.252 | Val-acc-top1: 0.851 | time: 1.6 | Speed: 1363.56 samples/sec | lr: 0.00168070
[Epoch 53] Train-acc: 0.916, loss: 0.220 | Val-acc-top1: 0.853 | time: 1.6 | Speed: 1394.41 samples/sec | lr: 0.00168070
[Epoch 54] Train-acc: 0.912, loss: 0.214 | Val-acc-top1: 0.806 | time: 1.6 | Speed: 1382.67 samples/sec | lr: 0.00168070
[Epoch 55] Train-acc: 0.907, loss: 0.229 | Val-acc-top1: 0.842 | time: 1.6 | Speed: 1368.35 samples/sec | lr: 0.00168070
[Epoch 56] Train-acc: 0.902, loss: 0.235 | Val-acc-top1: 0.856 | time: 1.6 | Speed: 1353.56 samples/sec | lr: 0.00168070
[Epoch 57] Train-acc: 0.900, loss: 0.236 | Val-acc-top1: 0.838 | time: 1.6 | Speed: 1379.14 samples/sec | lr: 0.00168070
[Epoch 58] Train-acc: 0.910, loss: 0.223 | Val-acc-top1: 0.851 | time: 1.6 | Speed: 1394.13 samples/sec | lr: 0.00168070
[Epoch 59] Train-acc: 0.906, loss: 0.230 | Val-acc-top1: 0.790 | time: 1.6 | Speed: 1402.09 samples/sec | lr: 0.00168070
[Epoch 60] Train-acc: 0.904, loss: 0.232 | Val-acc-top1: 0.842 | time: 1.6 | Speed: 1383.27 samples/sec | lr: 0.00168070
[Epoch 61] Train-acc: 0.910, loss: 0.248 | Val-acc-top1: 0.831 | time: 1.6 | Speed: 1347.40 samples/sec | lr: 0.00168070
[Epoch 62] Train-acc: 0.906, loss: 0.226 | Val-acc-top1: 0.856 | time: 1.6 | Speed: 1363.13 samples/sec | lr: 0.00168070
[Epoch 63] Train-acc: 0.907, loss: 0.212 | Val-acc-top1: 0.835 | time: 1.6 | Speed: 1371.05 samples/sec | lr: 0.00168070
[Epoch 64] Train-acc: 0.907, loss: 0.231 | Val-acc-top1: 0.849 | time: 1.6 | Speed: 1366.99 samples/sec | lr: 0.00168070
[Epoch 65] Train-acc: 0.904, loss: 0.227 | Val-acc-top1: 0.808 | time: 1.6 | Speed: 1340.96 samples/sec | lr: 0.00168070
[Epoch 66] Train-acc: 0.909, loss: 0.208 | Val-acc-top1: 0.847 | time: 1.6 | Speed: 1359.01 samples/sec | lr: 0.00117649
[Epoch 67] Train-acc: 0.914, loss: 0.216 | Val-acc-top1: 0.849 | time: 1.7 | Speed: 1289.32 samples/sec | lr: 0.00117649
[Epoch 68] Train-acc: 0.912, loss: 0.207 | Val-acc-top1: 0.853 | time: 1.6 | Speed: 1392.93 samples/sec | lr: 0.00117649
[Epoch 69] Train-acc: 0.908, loss: 0.224 | Val-acc-top1: 0.847 | time: 1.6 | Speed: 1403.94 samples/sec | lr: 0.00117649
[Epoch 70] Train-acc: 0.910, loss: 0.218 | Val-acc-top1: 0.838 | time: 1.6 | Speed: 1357.87 samples/sec | lr: 0.00117649
[Epoch 71] Train-acc: 0.912, loss: 0.233 | Val-acc-top1: 0.838 | time: 1.6 | Speed: 1341.18 samples/sec | lr: 0.00117649
[Epoch 72] Train-acc: 0.915, loss: 0.215 | Val-acc-top1: 0.838 | time: 1.6 | Speed: 1375.66 samples/sec | lr: 0.00117649
[Epoch 73] Train-acc: 0.916, loss: 0.196 | Val-acc-top1: 0.831 | time: 1.6 | Speed: 1382.44 samples/sec | lr: 0.00117649
[Epoch 74] Train-acc: 0.913, loss: 0.214 | Val-acc-top1: 0.845 | time: 1.6 | Speed: 1389.92 samples/sec | lr: 0.00117649
