Namespace(batch_size=128, input_sz=112, log_interval=200, lr=0.01, lr_decay=0.75, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,1000', lr_decay_period=0, lr_mode='step', model='arm_network_v3.4', momentum=0.9, num_class=2, num_epochs=1500, num_gpus=1, num_workers=6, resume_epoch=0, resume_params='arm_network_v3.4_112/ImageNet_v3.4_3452.params', resume_states='', save_frequency=5, warmup_epochs=0, wd=0.0001)
[Epoch 32] Train-acc: 0.923, loss: 0.199 | Val-acc-top1: 0.860 | Val-acc-top5: 1.000 | time: 6.7 | Speed: 327.11 samples/sec | lr: 0.00421875
[Epoch 33] Train-acc: 0.910, loss: 0.227 | Val-acc-top1: 0.851 | Val-acc-top5: 1.000 | time: 6.8 | Speed: 323.33 samples/sec | lr: 0.00421875
[Epoch 34] Train-acc: 0.915, loss: 0.213 | Val-acc-top1: 0.824 | Val-acc-top5: 1.000 | time: 8.1 | Speed: 272.62 samples/sec | lr: 0.00421875
[Epoch 35] Train-acc: 0.913, loss: 0.209 | Val-acc-top1: 0.854 | Val-acc-top5: 1.000 | time: 8.4 | Speed: 260.57 samples/sec | lr: 0.00421875
[Epoch 36] Train-acc: 0.905, loss: 0.218 | Val-acc-top1: 0.851 | Val-acc-top5: 1.000 | time: 9.1 | Speed: 240.89 samples/sec | lr: 0.00421875
[Epoch 37] Train-acc: 0.914, loss: 0.201 | Val-acc-top1: 0.835 | Val-acc-top5: 1.000 | time: 8.2 | Speed: 266.96 samples/sec | lr: 0.00316406
[Epoch 38] Train-acc: 0.923, loss: 0.194 | Val-acc-top1: 0.858 | Val-acc-top5: 1.000 | time: 8.0 | Speed: 275.53 samples/sec | lr: 0.00316406
[Epoch 39] Train-acc: 0.914, loss: 0.203 | Val-acc-top1: 0.820 | Val-acc-top5: 1.000 | time: 7.9 | Speed: 279.09 samples/sec | lr: 0.00316406
[Epoch 40] Train-acc: 0.912, loss: 0.208 | Val-acc-top1: 0.829 | Val-acc-top5: 1.000 | time: 7.8 | Speed: 280.70 samples/sec | lr: 0.00316406
[Epoch 41] Train-acc: 0.917, loss: 0.203 | Val-acc-top1: 0.865 | Val-acc-top5: 1.000 | time: 7.4 | Speed: 296.32 samples/sec | lr: 0.00316406
[Epoch 42] Train-acc: 0.915, loss: 0.195 | Val-acc-top1: 0.844 | Val-acc-top5: 1.000 | time: 7.8 | Speed: 283.40 samples/sec | lr: 0.00316406
[Epoch 43] Train-acc: 0.925, loss: 0.195 | Val-acc-top1: 0.840 | Val-acc-top5: 1.000 | time: 7.7 | Speed: 284.34 samples/sec | lr: 0.00316406
[Epoch 44] Train-acc: 0.923, loss: 0.184 | Val-acc-top1: 0.845 | Val-acc-top5: 1.000 | time: 7.7 | Speed: 284.64 samples/sec | lr: 0.00316406
[Epoch 45] Train-acc: 0.930, loss: 0.195 | Val-acc-top1: 0.829 | Val-acc-top5: 1.000 | time: 8.0 | Speed: 273.81 samples/sec | lr: 0.00316406
[Epoch 46] Train-acc: 0.921, loss: 0.189 | Val-acc-top1: 0.836 | Val-acc-top5: 1.000 | time: 7.8 | Speed: 283.06 samples/sec | lr: 0.00316406
[Epoch 47] Train-acc: 0.913, loss: 0.198 | Val-acc-top1: 0.871 | Val-acc-top5: 1.000 | time: 7.1 | Speed: 308.53 samples/sec | lr: 0.00237305
[Epoch 48] Train-acc: 0.932, loss: 0.180 | Val-acc-top1: 0.858 | Val-acc-top5: 1.000 | time: 7.4 | Speed: 297.50 samples/sec | lr: 0.00237305
[Epoch 49] Train-acc: 0.927, loss: 0.179 | Val-acc-top1: 0.853 | Val-acc-top5: 1.000 | time: 7.8 | Speed: 281.83 samples/sec | lr: 0.00237305
[Epoch 50] Train-acc: 0.915, loss: 0.208 | Val-acc-top1: 0.860 | Val-acc-top5: 1.000 | time: 7.6 | Speed: 290.15 samples/sec | lr: 0.00237305
[Epoch 51] Train-acc: 0.933, loss: 0.179 | Val-acc-top1: 0.860 | Val-acc-top5: 1.000 | time: 7.6 | Speed: 288.83 samples/sec | lr: 0.00237305
[Epoch 52] Train-acc: 0.918, loss: 0.205 | Val-acc-top1: 0.854 | Val-acc-top5: 1.000 | time: 7.2 | Speed: 304.51 samples/sec | lr: 0.00237305
[Epoch 53] Train-acc: 0.926, loss: 0.187 | Val-acc-top1: 0.854 | Val-acc-top5: 1.000 | time: 7.8 | Speed: 281.14 samples/sec | lr: 0.00237305
[Epoch 54] Train-acc: 0.932, loss: 0.174 | Val-acc-top1: 0.871 | Val-acc-top5: 1.000 | time: 7.6 | Speed: 288.27 samples/sec | lr: 0.00237305
[Epoch 55] Train-acc: 0.924, loss: 0.190 | Val-acc-top1: 0.845 | Val-acc-top5: 1.000 | time: 7.2 | Speed: 304.20 samples/sec | lr: 0.00237305
[Epoch 56] Train-acc: 0.930, loss: 0.188 | Val-acc-top1: 0.845 | Val-acc-top5: 1.000 | time: 7.3 | Speed: 302.83 samples/sec | lr: 0.00237305
[Epoch 57] Train-acc: 0.925, loss: 0.193 | Val-acc-top1: 0.860 | Val-acc-top5: 1.000 | time: 7.4 | Speed: 298.87 samples/sec | lr: 0.00237305
[Epoch 58] Train-acc: 0.935, loss: 0.181 | Val-acc-top1: 0.867 | Val-acc-top5: 1.000 | time: 7.6 | Speed: 288.75 samples/sec | lr: 0.00237305
[Epoch 59] Train-acc: 0.920, loss: 0.194 | Val-acc-top1: 0.856 | Val-acc-top5: 1.000 | time: 7.2 | Speed: 305.75 samples/sec | lr: 0.00237305
[Epoch 60] Train-acc: 0.927, loss: 0.177 | Val-acc-top1: 0.865 | Val-acc-top5: 1.000 | time: 6.7 | Speed: 329.61 samples/sec | lr: 0.00237305
[Epoch 61] Train-acc: 0.930, loss: 0.177 | Val-acc-top1: 0.844 | Val-acc-top5: 1.000 | time: 6.2 | Speed: 355.34 samples/sec | lr: 0.00237305
[Epoch 62] Train-acc: 0.926, loss: 0.178 | Val-acc-top1: 0.856 | Val-acc-top5: 1.000 | time: 6.7 | Speed: 330.76 samples/sec | lr: 0.00237305
[Epoch 63] Train-acc: 0.924, loss: 0.172 | Val-acc-top1: 0.881 | Val-acc-top5: 1.000 | time: 6.6 | Speed: 335.35 samples/sec | lr: 0.00237305
[Epoch 64] Train-acc: 0.929, loss: 0.181 | Val-acc-top1: 0.858 | Val-acc-top5: 1.000 | time: 6.3 | Speed: 351.93 samples/sec | lr: 0.00237305
[Epoch 65] Train-acc: 0.922, loss: 0.187 | Val-acc-top1: 0.878 | Val-acc-top5: 1.000 | time: 6.5 | Speed: 338.91 samples/sec | lr: 0.00237305
[Epoch 66] Train-acc: 0.926, loss: 0.185 | Val-acc-top1: 0.862 | Val-acc-top5: 1.000 | time: 6.3 | Speed: 349.51 samples/sec | lr: 0.00177979
[Epoch 67] Train-acc: 0.927, loss: 0.179 | Val-acc-top1: 0.853 | Val-acc-top5: 1.000 | time: 6.4 | Speed: 341.95 samples/sec | lr: 0.00177979
[Epoch 68] Train-acc: 0.931, loss: 0.175 | Val-acc-top1: 0.871 | Val-acc-top5: 1.000 | time: 6.8 | Speed: 324.82 samples/sec | lr: 0.00177979
[Epoch 69] Train-acc: 0.930, loss: 0.170 | Val-acc-top1: 0.876 | Val-acc-top5: 1.000 | time: 6.4 | Speed: 343.86 samples/sec | lr: 0.00177979
[Epoch 70] Train-acc: 0.922, loss: 0.192 | Val-acc-top1: 0.881 | Val-acc-top5: 1.000 | time: 6.5 | Speed: 338.49 samples/sec | lr: 0.00177979
[Epoch 71] Train-acc: 0.935, loss: 0.150 | Val-acc-top1: 0.856 | Val-acc-top5: 1.000 | time: 6.3 | Speed: 347.59 samples/sec | lr: 0.00177979
[Epoch 72] Train-acc: 0.931, loss: 0.186 | Val-acc-top1: 0.872 | Val-acc-top5: 1.000 | time: 6.5 | Speed: 338.17 samples/sec | lr: 0.00177979
[Epoch 73] Train-acc: 0.922, loss: 0.186 | Val-acc-top1: 0.854 | Val-acc-top5: 1.000 | time: 7.0 | Speed: 312.49 samples/sec | lr: 0.00177979
[Epoch 74] Train-acc: 0.927, loss: 0.179 | Val-acc-top1: 0.867 | Val-acc-top5: 1.000 | time: 6.4 | Speed: 345.63 samples/sec | lr: 0.00177979
[Epoch 75] Train-acc: 0.936, loss: 0.154 | Val-acc-top1: 0.829 | Val-acc-top5: 1.000 | time: 6.6 | Speed: 332.70 samples/sec | lr: 0.00177979
[Epoch 76] Train-acc: 0.924, loss: 0.173 | Val-acc-top1: 0.876 | Val-acc-top5: 1.000 | time: 6.4 | Speed: 345.73 samples/sec | lr: 0.00177979
[Epoch 77] Train-acc: 0.930, loss: 0.175 | Val-acc-top1: 0.863 | Val-acc-top5: 1.000 | time: 6.6 | Speed: 335.25 samples/sec | lr: 0.00177979
[Epoch 78] Train-acc: 0.939, loss: 0.158 | Val-acc-top1: 0.863 | Val-acc-top5: 1.000 | time: 6.7 | Speed: 330.58 samples/sec | lr: 0.00177979
[Epoch 79] Train-acc: 0.931, loss: 0.178 | Val-acc-top1: 0.853 | Val-acc-top5: 1.000 | time: 6.4 | Speed: 343.18 samples/sec | lr: 0.00177979
[Epoch 80] Train-acc: 0.935, loss: 0.166 | Val-acc-top1: 0.860 | Val-acc-top5: 1.000 | time: 6.7 | Speed: 328.22 samples/sec | lr: 0.00177979
[Epoch 81] Train-acc: 0.925, loss: 0.174 | Val-acc-top1: 0.872 | Val-acc-top5: 1.000 | time: 6.4 | Speed: 344.55 samples/sec | lr: 0.00177979
[Epoch 82] Train-acc: 0.932, loss: 0.169 | Val-acc-top1: 0.851 | Val-acc-top5: 1.000 | time: 6.3 | Speed: 347.49 samples/sec | lr: 0.00177979
[Epoch 83] Train-acc: 0.934, loss: 0.176 | Val-acc-top1: 0.874 | Val-acc-top5: 1.000 | time: 6.5 | Speed: 337.54 samples/sec | lr: 0.00177979
[Epoch 84] Train-acc: 0.934, loss: 0.169 | Val-acc-top1: 0.856 | Val-acc-top5: 1.000 | time: 6.2 | Speed: 354.70 samples/sec | lr: 0.00177979
[Epoch 85] Train-acc: 0.941, loss: 0.152 | Val-acc-top1: 0.865 | Val-acc-top5: 1.000 | time: 6.3 | Speed: 348.19 samples/sec | lr: 0.00177979
[Epoch 86] Train-acc: 0.935, loss: 0.164 | Val-acc-top1: 0.849 | Val-acc-top5: 1.000 | time: 6.7 | Speed: 327.97 samples/sec | lr: 0.00177979
[Epoch 87] Train-acc: 0.937, loss: 0.161 | Val-acc-top1: 0.874 | Val-acc-top5: 1.000 | time: 6.6 | Speed: 335.85 samples/sec | lr: 0.00177979
[Epoch 88] Train-acc: 0.939, loss: 0.155 | Val-acc-top1: 0.872 | Val-acc-top5: 1.000 | time: 6.4 | Speed: 344.07 samples/sec | lr: 0.00177979
[Epoch 89] Train-acc: 0.939, loss: 0.148 | Val-acc-top1: 0.863 | Val-acc-top5: 1.000 | time: 6.4 | Speed: 341.25 samples/sec | lr: 0.00177979
[Epoch 90] Train-acc: 0.933, loss: 0.161 | Val-acc-top1: 0.853 | Val-acc-top5: 1.000 | time: 6.4 | Speed: 345.46 samples/sec | lr: 0.00177979
[Epoch 91] Train-acc: 0.932, loss: 0.167 | Val-acc-top1: 0.853 | Val-acc-top5: 1.000 | time: 6.3 | Speed: 351.36 samples/sec | lr: 0.00177979
[Epoch 92] Train-acc: 0.941, loss: 0.158 | Val-acc-top1: 0.863 | Val-acc-top5: 1.000 | time: 6.5 | Speed: 339.86 samples/sec | lr: 0.00177979
