Namespace(batch_size=32, dtype='float32', hard_weight=0.5, input_sz=112, label_smoothing=False, log_interval=200, lr=0.01, lr_decay=0.7, lr_decay_epoch='10,20,30,40,50,70,110,150,200,500,900,1400', lr_decay_period=0, lr_mode='step', mode='hybrid', model='arm_network_v3.4.1', momentum=0.9, num_class=2, num_epochs=2500, num_gpus=1, num_workers=8, resume_epoch=0, resume_params='pretrained/ImageNet_v3.4_3452.params', resume_states='', save_frequency=200, teacher=None, temperature=20, warmup_epochs=0, wd=0.0001)
[Epoch 0] Train-acc: 0.706, loss: 0.597 | Val-acc-top1: 0.761 | time: 1.7 | Speed: 1010.56 samples/sec | lr: 0.01000000
[Epoch 1] Train-acc: 0.794, loss: 0.468 | Val-acc-top1: 0.681 | time: 1.1 | Speed: 1475.81 samples/sec | lr: 0.01000000
[Epoch 2] Train-acc: 0.786, loss: 0.452 | Val-acc-top1: 0.789 | time: 1.2 | Speed: 1466.62 samples/sec | lr: 0.01000000
[Epoch 3] Train-acc: 0.819, loss: 0.414 | Val-acc-top1: 0.585 | time: 1.2 | Speed: 1444.46 samples/sec | lr: 0.01000000
[Epoch 4] Train-acc: 0.799, loss: 0.441 | Val-acc-top1: 0.770 | time: 1.2 | Speed: 1473.38 samples/sec | lr: 0.01000000
[Epoch 5] Train-acc: 0.801, loss: 0.423 | Val-acc-top1: 0.850 | time: 1.2 | Speed: 1458.30 samples/sec | lr: 0.01000000
[Epoch 6] Train-acc: 0.811, loss: 0.423 | Val-acc-top1: 0.733 | time: 1.1 | Speed: 1480.29 samples/sec | lr: 0.01000000
[Epoch 7] Train-acc: 0.822, loss: 0.398 | Val-acc-top1: 0.829 | time: 1.2 | Speed: 1463.03 samples/sec | lr: 0.01000000
[Epoch 8] Train-acc: 0.819, loss: 0.403 | Val-acc-top1: 0.822 | time: 1.2 | Speed: 1467.68 samples/sec | lr: 0.01000000
[Epoch 9] Train-acc: 0.836, loss: 0.365 | Val-acc-top1: 0.857 | time: 1.2 | Speed: 1387.13 samples/sec | lr: 0.00700000
[Epoch 10] Train-acc: 0.832, loss: 0.368 | Val-acc-top1: 0.855 | time: 1.2 | Speed: 1445.61 samples/sec | lr: 0.00700000
[Epoch 11] Train-acc: 0.832, loss: 0.355 | Val-acc-top1: 0.794 | time: 1.2 | Speed: 1464.67 samples/sec | lr: 0.00700000
[Epoch 12] Train-acc: 0.834, loss: 0.381 | Val-acc-top1: 0.850 | time: 1.2 | Speed: 1458.83 samples/sec | lr: 0.00700000
[Epoch 13] Train-acc: 0.855, loss: 0.325 | Val-acc-top1: 0.836 | time: 1.2 | Speed: 1425.58 samples/sec | lr: 0.00700000
[Epoch 14] Train-acc: 0.833, loss: 0.382 | Val-acc-top1: 0.829 | time: 1.2 | Speed: 1418.82 samples/sec | lr: 0.00700000
[Epoch 15] Train-acc: 0.820, loss: 0.378 | Val-acc-top1: 0.862 | time: 1.2 | Speed: 1449.11 samples/sec | lr: 0.00700000
[Epoch 16] Train-acc: 0.832, loss: 0.357 | Val-acc-top1: 0.859 | time: 1.2 | Speed: 1437.11 samples/sec | lr: 0.00700000
[Epoch 17] Train-acc: 0.846, loss: 0.344 | Val-acc-top1: 0.813 | time: 1.2 | Speed: 1425.61 samples/sec | lr: 0.00700000
[Epoch 18] Train-acc: 0.859, loss: 0.339 | Val-acc-top1: 0.881 | time: 1.2 | Speed: 1458.55 samples/sec | lr: 0.00700000
[Epoch 19] Train-acc: 0.847, loss: 0.336 | Val-acc-top1: 0.843 | time: 1.2 | Speed: 1461.75 samples/sec | lr: 0.00490000
[Epoch 20] Train-acc: 0.867, loss: 0.333 | Val-acc-top1: 0.841 | time: 1.1 | Speed: 1483.66 samples/sec | lr: 0.00490000
[Epoch 21] Train-acc: 0.864, loss: 0.324 | Val-acc-top1: 0.834 | time: 1.2 | Speed: 1456.49 samples/sec | lr: 0.00490000
[Epoch 22] Train-acc: 0.863, loss: 0.307 | Val-acc-top1: 0.859 | time: 1.2 | Speed: 1454.25 samples/sec | lr: 0.00490000
[Epoch 23] Train-acc: 0.866, loss: 0.309 | Val-acc-top1: 0.843 | time: 1.2 | Speed: 1471.54 samples/sec | lr: 0.00490000
[Epoch 24] Train-acc: 0.876, loss: 0.292 | Val-acc-top1: 0.852 | time: 1.2 | Speed: 1460.26 samples/sec | lr: 0.00490000
[Epoch 25] Train-acc: 0.873, loss: 0.311 | Val-acc-top1: 0.871 | time: 1.2 | Speed: 1466.98 samples/sec | lr: 0.00490000
