Namespace(batch_norm=False, batch_size=32, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float32', hard_weight=0.5, input_size=112, label_smoothing=True, last_gamma=False, log_interval=200, logging_file='arm_network_v3.4.2_train_imagenet.log', lr=0.4, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='arm_network_v3.4.2', momentum=0.9, no_wd=True, num_epochs=120, num_gpus=1, num_workers=8, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params', save_frequency=200, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=False, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[0] Batch [10999]	Speed: 2250.885171 samples/sec	accuracy=0.012861	lr=0.021980
Epoch[0] Batch [11199]	Speed: 2382.727049 samples/sec	accuracy=0.013092	lr=0.022380
Epoch[0] Batch [11399]	Speed: 2210.258527 samples/sec	accuracy=0.013369	lr=0.022780
Epoch[0] Batch [11599]	Speed: 1915.975555 samples/sec	accuracy=0.013599	lr=0.023179
Epoch[0] Batch [11799]	Speed: 2341.764281 samples/sec	accuracy=0.013872	lr=0.023579
Epoch[0] Batch [11999]	Speed: 1995.041713 samples/sec	accuracy=0.014096	lr=0.023979
Epoch[0] Batch [12199]	Speed: 2064.556841 samples/sec	accuracy=0.014360	lr=0.024378
Epoch[0] Batch [12399]	Speed: 2313.482694 samples/sec	accuracy=0.014640	lr=0.024778
Epoch[0] Batch [12599]	Speed: 2257.958513 samples/sec	accuracy=0.014918	lr=0.025177
Epoch[0] Batch [12799]	Speed: 2358.658287 samples/sec	accuracy=0.015242	lr=0.025577
Epoch[0] Batch [12999]	Speed: 2286.013895 samples/sec	accuracy=0.015529	lr=0.025977
Epoch[0] Batch [13199]	Speed: 2350.452354 samples/sec	accuracy=0.015798	lr=0.026376
Epoch[0] Batch [13399]	Speed: 2275.731881 samples/sec	accuracy=0.016084	lr=0.026776
Epoch[0] Batch [13599]	Speed: 2351.931194 samples/sec	accuracy=0.016347	lr=0.027176
Epoch[0] Batch [13799]	Speed: 2178.052528 samples/sec	accuracy=0.016612	lr=0.027575
Epoch[0] Batch [13999]	Speed: 2238.347671 samples/sec	accuracy=0.016922	lr=0.027975
Epoch[0] Batch [14199]	Speed: 2355.186407 samples/sec	accuracy=0.017190	lr=0.028375
Epoch[0] Batch [14399]	Speed: 2180.560660 samples/sec	accuracy=0.017457	lr=0.028774
Epoch[0] Batch [14599]	Speed: 2354.566036 samples/sec	accuracy=0.017740	lr=0.029174
Epoch[0] Batch [14799]	Speed: 2083.287235 samples/sec	accuracy=0.017960	lr=0.029574
Epoch[0] Batch [14999]	Speed: 2347.844161 samples/sec	accuracy=0.018252	lr=0.029973
Epoch[0] Batch [15199]	Speed: 2059.972869 samples/sec	accuracy=0.018507	lr=0.030373
Epoch[0] Batch [15399]	Speed: 2375.005992 samples/sec	accuracy=0.018711	lr=0.030772
Epoch[0] Batch [15599]	Speed: 2358.592177 samples/sec	accuracy=0.018974	lr=0.031172
Epoch[0] Batch [15799]	Speed: 1972.354939 samples/sec	accuracy=0.019241	lr=0.031572
Epoch[0] Batch [15999]	Speed: 2354.703592 samples/sec	accuracy=0.019561	lr=0.031971
Epoch[0] Batch [16199]	Speed: 2176.797447 samples/sec	accuracy=0.019832	lr=0.032371
Epoch[0] Batch [16399]	Speed: 2353.385073 samples/sec	accuracy=0.020053	lr=0.032771
Epoch[0] Batch [16599]	Speed: 2321.031239 samples/sec	accuracy=0.020358	lr=0.033170
Epoch[0] Batch [16799]	Speed: 2394.898719 samples/sec	accuracy=0.020597	lr=0.033570
Epoch[0] Batch [16999]	Speed: 2246.132531 samples/sec	accuracy=0.020914	lr=0.033970
Epoch[0] Batch [17199]	Speed: 2329.587907 samples/sec	accuracy=0.021210	lr=0.034369
Epoch[0] Batch [17399]	Speed: 2342.493005 samples/sec	accuracy=0.021496	lr=0.034769
Epoch[0] Batch [17599]	Speed: 2291.178676 samples/sec	accuracy=0.021774	lr=0.035169
Epoch[0] Batch [17799]	Speed: 2403.527597 samples/sec	accuracy=0.022058	lr=0.035568
Epoch[0] Batch [17999]	Speed: 2016.888352 samples/sec	accuracy=0.022306	lr=0.035968
Epoch[0] Batch [18199]	Speed: 2364.141312 samples/sec	accuracy=0.022615	lr=0.036367
Epoch[0] Batch [18399]	Speed: 2002.154762 samples/sec	accuracy=0.022862	lr=0.036767
Epoch[0] Batch [18599]	Speed: 2355.731645 samples/sec	accuracy=0.023122	lr=0.037167
Epoch[0] Batch [18799]	Speed: 2096.537125 samples/sec	accuracy=0.023401	lr=0.037566
Epoch[0] Batch [18999]	Speed: 2341.354956 samples/sec	accuracy=0.023671	lr=0.037966
Epoch[0] Batch [19199]	Speed: 2314.478253 samples/sec	accuracy=0.023955	lr=0.038366
Epoch[0] Batch [19399]	Speed: 2344.849847 samples/sec	accuracy=0.024167	lr=0.038765
Epoch[0] Batch [19599]	Speed: 2275.253898 samples/sec	accuracy=0.024424	lr=0.039165
Epoch[0] Batch [19799]	Speed: 2358.563578 samples/sec	accuracy=0.024675	lr=0.039565
Epoch[0] Batch [19999]	Speed: 2312.468668 samples/sec	accuracy=0.024973	lr=0.039964
Epoch[0] Batch [20199]	Speed: 2147.959464 samples/sec	accuracy=0.025238	lr=0.040364
Epoch[0] Batch [20399]	Speed: 2328.589410 samples/sec	accuracy=0.025492	lr=0.040764
Epoch[0] Batch [20599]	Speed: 2172.145844 samples/sec	accuracy=0.025736	lr=0.041163
Epoch[0] Batch [20799]	Speed: 2351.514805 samples/sec	accuracy=0.025981	lr=0.041563
Epoch[0] Batch [20999]	Speed: 2134.430496 samples/sec	accuracy=0.026225	lr=0.041962
Epoch[0] Batch [21199]	Speed: 2359.457498 samples/sec	accuracy=0.026501	lr=0.042362
Epoch[0] Batch [21399]	Speed: 2213.023672 samples/sec	accuracy=0.026792	lr=0.042762
Epoch[0] Batch [21599]	Speed: 2166.076381 samples/sec	accuracy=0.027059	lr=0.043161
Epoch[0] Batch [21799]	Speed: 2376.043861 samples/sec	accuracy=0.027321	lr=0.043561
Epoch[0] Batch [21999]	Speed: 2333.154800 samples/sec	accuracy=0.027547	lr=0.043961
Epoch[0] Batch [22199]	Speed: 2368.493875 samples/sec	accuracy=0.027773	lr=0.044360
Epoch[0] Batch [22399]	Speed: 2299.434511 samples/sec	accuracy=0.028078	lr=0.044760
Epoch[0] Batch [22599]	Speed: 2326.247587 samples/sec	accuracy=0.028378	lr=0.045160
Epoch[0] Batch [22799]	Speed: 2269.851333 samples/sec	accuracy=0.028609	lr=0.045559
Epoch[0] Batch [22999]	Speed: 2317.759820 samples/sec	accuracy=0.028841	lr=0.045959
Epoch[0] Batch [23199]	Speed: 2076.663926 samples/sec	accuracy=0.029096	lr=0.046359
Epoch[0] Batch [23399]	Speed: 2264.936745 samples/sec	accuracy=0.029319	lr=0.046758
Epoch[0] Batch [23599]	Speed: 2377.860683 samples/sec	accuracy=0.029591	lr=0.047158
Epoch[0] Batch [23799]	Speed: 2079.060277 samples/sec	accuracy=0.029867	lr=0.047557
Epoch[0] Batch [23999]	Speed: 2343.787474 samples/sec	accuracy=0.030137	lr=0.047957
Epoch[0] Batch [24199]	Speed: 2230.824021 samples/sec	accuracy=0.030425	lr=0.048357
Epoch[0] Batch [24399]	Speed: 2333.249305 samples/sec	accuracy=0.030624	lr=0.048756
Epoch[0] Batch [24599]	Speed: 2372.298186 samples/sec	accuracy=0.030870	lr=0.049156
Epoch[0] Batch [24799]	Speed: 2332.001089 samples/sec	accuracy=0.031144	lr=0.049556
Epoch[0] Batch [24999]	Speed: 2374.737265 samples/sec	accuracy=0.031381	lr=0.049955
Epoch[0] Batch [25199]	Speed: 2137.419310 samples/sec	accuracy=0.031649	lr=0.050355
Epoch[0] Batch [25399]	Speed: 2360.542639 samples/sec	accuracy=0.031940	lr=0.050755
Epoch[0] Batch [25599]	Speed: 2136.316353 samples/sec	accuracy=0.032146	lr=0.051154
Epoch[0] Batch [25799]	Speed: 2346.922903 samples/sec	accuracy=0.032339	lr=0.051554
Epoch[0] Batch [25999]	Speed: 2144.667956 samples/sec	accuracy=0.032605	lr=0.051954
Epoch[0] Batch [26199]	Speed: 2351.215945 samples/sec	accuracy=0.032851	lr=0.052353
Epoch[0] Batch [26399]	Speed: 2184.622404 samples/sec	accuracy=0.033132	lr=0.052753
Epoch[0] Batch [26599]	Speed: 2431.109307 samples/sec	accuracy=0.033395	lr=0.053152
Epoch[0] Batch [26799]	Speed: 2262.534619 samples/sec	accuracy=0.033605	lr=0.053552
Epoch[0] Batch [26999]	Speed: 2291.042575 samples/sec	accuracy=0.033865	lr=0.053952
Epoch[0] Batch [27199]	Speed: 2378.691301 samples/sec	accuracy=0.034097	lr=0.054351
Epoch[0] Batch [27399]	Speed: 2303.851189 samples/sec	accuracy=0.034313	lr=0.054751
Epoch[0] Batch [27599]	Speed: 2357.525393 samples/sec	accuracy=0.034529	lr=0.055151
Epoch[0] Batch [27799]	Speed: 2227.706385 samples/sec	accuracy=0.034766	lr=0.055550
Epoch[0] Batch [27999]	Speed: 2376.408181 samples/sec	accuracy=0.034989	lr=0.055950
Epoch[0] Batch [28199]	Speed: 2267.697370 samples/sec	accuracy=0.035232	lr=0.056350
Epoch[0] Batch [28399]	Speed: 2332.745844 samples/sec	accuracy=0.035470	lr=0.056749
Epoch[0] Batch [28599]	Speed: 2242.582231 samples/sec	accuracy=0.035682	lr=0.057149
Epoch[0] Batch [28799]	Speed: 2166.575861 samples/sec	accuracy=0.035906	lr=0.057548
Epoch[0] Batch [28999]	Speed: 2353.764149 samples/sec	accuracy=0.036142	lr=0.057948
Epoch[0] Batch [29199]	Speed: 1980.427754 samples/sec	accuracy=0.036389	lr=0.058348
Epoch[0] Batch [29399]	Speed: 2383.059784 samples/sec	accuracy=0.036602	lr=0.058747
Epoch[0] Batch [29599]	Speed: 2082.179018 samples/sec	accuracy=0.036846	lr=0.059147
Epoch[0] Batch [29799]	Speed: 2367.915559 samples/sec	accuracy=0.037077	lr=0.059547
Epoch[0] Batch [29999]	Speed: 1950.186834 samples/sec	accuracy=0.037294	lr=0.059946
Epoch[0] Batch [30199]	Speed: 2049.851203 samples/sec	accuracy=0.037511	lr=0.060346
Epoch[0] Batch [30399]	Speed: 2361.926965 samples/sec	accuracy=0.037750	lr=0.060746
Epoch[0] Batch [30599]	Speed: 2092.396865 samples/sec	accuracy=0.037999	lr=0.061145
Epoch[0] Batch [30799]	Speed: 2351.894102 samples/sec	accuracy=0.038230	lr=0.061545
Epoch[0] Batch [30999]	Speed: 2122.462028 samples/sec	accuracy=0.038429	lr=0.061945
Epoch[0] Batch [31199]	Speed: 2353.224978 samples/sec	accuracy=0.038646	lr=0.062344
Epoch[0] Batch [31399]	Speed: 2282.302352 samples/sec	accuracy=0.038867	lr=0.062744
Epoch[0] Batch [31599]	Speed: 2179.929191 samples/sec	accuracy=0.039082	lr=0.063143
Epoch[0] Batch [31799]	Speed: 2377.857102 samples/sec	accuracy=0.039323	lr=0.063543
Epoch[0] Batch [31999]	Speed: 2238.584174 samples/sec	accuracy=0.039526	lr=0.063943
Epoch[0] Batch [32199]	Speed: 2345.888787 samples/sec	accuracy=0.039764	lr=0.064342
Epoch[0] Batch [32399]	Speed: 2033.736443 samples/sec	accuracy=0.039990	lr=0.064742
Epoch[0] Batch [32599]	Speed: 2383.120926 samples/sec	accuracy=0.040218	lr=0.065142
Epoch[0] Batch [32799]	Speed: 2145.317221 samples/sec	accuracy=0.040408	lr=0.065541
Epoch[0] Batch [32999]	Speed: 2276.892181 samples/sec	accuracy=0.040616	lr=0.065941
Epoch[0] Batch [33199]	Speed: 2369.972704 samples/sec	accuracy=0.040816	lr=0.066341
Epoch[0] Batch [33399]	Speed: 2187.759780 samples/sec	accuracy=0.041032	lr=0.066740
Epoch[0] Batch [33599]	Speed: 2365.319966 samples/sec	accuracy=0.041229	lr=0.067140
Epoch[0] Batch [33799]	Speed: 2281.801821 samples/sec	accuracy=0.041452	lr=0.067540
Epoch[0] Batch [33999]	Speed: 2377.867002 samples/sec	accuracy=0.041662	lr=0.067939
Epoch[0] Batch [34199]	Speed: 2161.599063 samples/sec	accuracy=0.041878	lr=0.068339
Epoch[0] Batch [34399]	Speed: 2377.403269 samples/sec	accuracy=0.042055	lr=0.068738
Epoch[0] Batch [34599]	Speed: 2081.683304 samples/sec	accuracy=0.042227	lr=0.069138
Epoch[0] Batch [34799]	Speed: 2046.546033 samples/sec	accuracy=0.042434	lr=0.069538
Epoch[0] Batch [34999]	Speed: 2376.564503 samples/sec	accuracy=0.042662	lr=0.069937
Epoch[0] Batch [35199]	Speed: 2118.490496 samples/sec	accuracy=0.042839	lr=0.070337
Epoch[0] Batch [35399]	Speed: 2354.593711 samples/sec	accuracy=0.043069	lr=0.070737
Epoch[0] Batch [35599]	Speed: 2139.289826 samples/sec	accuracy=0.043258	lr=0.071136
Epoch[0] Batch [35799]	Speed: 2351.880915 samples/sec	accuracy=0.043464	lr=0.071536
Epoch[0] Batch [35999]	Speed: 2269.407090 samples/sec	accuracy=0.043652	lr=0.071936
Epoch[0] Batch [36199]	Speed: 2162.450748 samples/sec	accuracy=0.043837	lr=0.072335
Epoch[0] Batch [36399]	Speed: 2339.275208 samples/sec	accuracy=0.044047	lr=0.072735
Epoch[0] Batch [36599]	Speed: 2363.917921 samples/sec	accuracy=0.044248	lr=0.073135
Epoch[0] Batch [36799]	Speed: 2297.964866 samples/sec	accuracy=0.044461	lr=0.073534
Epoch[0] Batch [36999]	Speed: 2368.454378 samples/sec	accuracy=0.044645	lr=0.073934
Epoch[0] Batch [37199]	Speed: 2204.161999 samples/sec	accuracy=0.044871	lr=0.074333
Epoch[0] Batch [37399]	Speed: 2367.245669 samples/sec	accuracy=0.045080	lr=0.074733
Epoch[0] Batch [37599]	Speed: 2242.256849 samples/sec	accuracy=0.045265	lr=0.075133
Epoch[0] Batch [37799]	Speed: 2362.654985 samples/sec	accuracy=0.045455	lr=0.075532
Epoch[0] Batch [37999]	Speed: 2055.157899 samples/sec	accuracy=0.045618	lr=0.075932
Epoch[0] Batch [38199]	Speed: 2062.915817 samples/sec	accuracy=0.045821	lr=0.076332
Epoch[0] Batch [38399]	Speed: 2342.568437 samples/sec	accuracy=0.046013	lr=0.076731
Epoch[0] Batch [38599]	Speed: 2248.812815 samples/sec	accuracy=0.046194	lr=0.077131
Epoch[0] Batch [38799]	Speed: 2344.184958 samples/sec	accuracy=0.046394	lr=0.077531
Epoch[0] Batch [38999]	Speed: 2230.701113 samples/sec	accuracy=0.046594	lr=0.077930
Epoch[0] Batch [39199]	Speed: 2343.811622 samples/sec	accuracy=0.046805	lr=0.078330
Epoch[0] Batch [39399]	Speed: 2205.935105 samples/sec	accuracy=0.046973	lr=0.078730
Epoch[0] Batch [39599]	Speed: 2393.590092 samples/sec	accuracy=0.047139	lr=0.079129
Epoch[0] Batch [39799]	Speed: 2321.534875 samples/sec	accuracy=0.047285	lr=0.079529
Epoch[0] Batch [39999]	Speed: 2130.518922 samples/sec	accuracy=0.047435	lr=0.079928
[Epoch 0] training: accuracy=0.047457
[Epoch 0] speed: 2254 samples/sec	time cost: 582.019509
[Epoch 0] validation: err-top1=0.905160 err-top5=0.752100
Epoch[1] Batch [199]	Speed: 2216.404062 samples/sec	accuracy=0.085938	lr=0.080400
Epoch[1] Batch [399]	Speed: 2384.743284 samples/sec	accuracy=0.085391	lr=0.080800
Epoch[1] Batch [599]	Speed: 2392.709369 samples/sec	accuracy=0.084219	lr=0.081199
Epoch[1] Batch [799]	Speed: 2376.940349 samples/sec	accuracy=0.082578	lr=0.081599
Epoch[1] Batch [999]	Speed: 2363.026651 samples/sec	accuracy=0.080437	lr=0.081999
Epoch[1] Batch [1199]	Speed: 2373.902898 samples/sec	accuracy=0.080833	lr=0.082398
Epoch[1] Batch [1399]	Speed: 2375.032469 samples/sec	accuracy=0.081094	lr=0.082798
Epoch[1] Batch [1599]	Speed: 2314.779623 samples/sec	accuracy=0.081562	lr=0.083198
Epoch[1] Batch [1799]	Speed: 2350.402550 samples/sec	accuracy=0.081927	lr=0.083597
Epoch[1] Batch [1999]	Speed: 2371.181059 samples/sec	accuracy=0.082234	lr=0.083997
Epoch[1] Batch [2199]	Speed: 2374.504516 samples/sec	accuracy=0.082287	lr=0.084396
Epoch[1] Batch [2399]	Speed: 2386.672108 samples/sec	accuracy=0.082214	lr=0.084796
Epoch[1] Batch [2599]	Speed: 2365.673291 samples/sec	accuracy=0.082392	lr=0.085196
Epoch[1] Batch [2799]	Speed: 2374.020048 samples/sec	accuracy=0.082589	lr=0.085595
Epoch[1] Batch [2999]	Speed: 2378.777093 samples/sec	accuracy=0.082667	lr=0.085995
Epoch[1] Batch [3199]	Speed: 2352.528529 samples/sec	accuracy=0.082979	lr=0.086395
Epoch[1] Batch [3399]	Speed: 2371.195721 samples/sec	accuracy=0.083364	lr=0.086794
Epoch[1] Batch [3599]	Speed: 2364.331634 samples/sec	accuracy=0.083585	lr=0.087194
Epoch[1] Batch [3799]	Speed: 2347.841491 samples/sec	accuracy=0.083651	lr=0.087594
Epoch[1] Batch [3999]	Speed: 2369.806787 samples/sec	accuracy=0.083641	lr=0.087993
Epoch[1] Batch [4199]	Speed: 2312.116916 samples/sec	accuracy=0.084100	lr=0.088393
Epoch[1] Batch [4399]	Speed: 2365.565719 samples/sec	accuracy=0.083885	lr=0.088793
Epoch[1] Batch [4599]	Speed: 2347.383442 samples/sec	accuracy=0.084056	lr=0.089192
Epoch[1] Batch [4799]	Speed: 2364.743200 samples/sec	accuracy=0.084173	lr=0.089592
Epoch[1] Batch [4999]	Speed: 2368.416973 samples/sec	accuracy=0.084069	lr=0.089991
Epoch[1] Batch [5199]	Speed: 2370.016645 samples/sec	accuracy=0.084411	lr=0.090391
Epoch[1] Batch [5399]	Speed: 2388.345842 samples/sec	accuracy=0.084531	lr=0.090791
Epoch[1] Batch [5599]	Speed: 2342.186828 samples/sec	accuracy=0.084565	lr=0.091190
Epoch[1] Batch [5799]	Speed: 2356.093278 samples/sec	accuracy=0.084639	lr=0.091590
Epoch[1] Batch [5999]	Speed: 2400.384941 samples/sec	accuracy=0.084714	lr=0.091990
Epoch[1] Batch [6199]	Speed: 2356.784804 samples/sec	accuracy=0.084793	lr=0.092389
Epoch[1] Batch [6399]	Speed: 2388.223662 samples/sec	accuracy=0.084839	lr=0.092789
Epoch[1] Batch [6599]	Speed: 2317.198411 samples/sec	accuracy=0.084867	lr=0.093189
Epoch[1] Batch [6799]	Speed: 2345.548315 samples/sec	accuracy=0.085000	lr=0.093588
Epoch[1] Batch [6999]	Speed: 2371.585165 samples/sec	accuracy=0.085004	lr=0.093988
Epoch[1] Batch [7199]	Speed: 2375.551617 samples/sec	accuracy=0.084913	lr=0.094388
Epoch[1] Batch [7399]	Speed: 2373.797305 samples/sec	accuracy=0.084772	lr=0.094787
Epoch[1] Batch [7599]	Speed: 2356.857849 samples/sec	accuracy=0.084889	lr=0.095187
Epoch[1] Batch [7799]	Speed: 2368.781466 samples/sec	accuracy=0.084836	lr=0.095586
Epoch[1] Batch [7999]	Speed: 2374.205034 samples/sec	accuracy=0.084871	lr=0.095986
Epoch[1] Batch [8199]	Speed: 2367.773740 samples/sec	accuracy=0.084973	lr=0.096386
Epoch[1] Batch [8399]	Speed: 2374.186765 samples/sec	accuracy=0.085000	lr=0.096785
Epoch[1] Batch [8599]	Speed: 2378.817777 samples/sec	accuracy=0.084938	lr=0.097185
Epoch[1] Batch [8799]	Speed: 2365.918909 samples/sec	accuracy=0.085142	lr=0.097585
Epoch[1] Batch [8999]	Speed: 2324.443534 samples/sec	accuracy=0.085135	lr=0.097984
Epoch[1] Batch [9199]	Speed: 2373.355512 samples/sec	accuracy=0.085177	lr=0.098384
Epoch[1] Batch [9399]	Speed: 2364.710078 samples/sec	accuracy=0.085189	lr=0.098784
Epoch[1] Batch [9599]	Speed: 2323.964388 samples/sec	accuracy=0.085133	lr=0.099183
Epoch[1] Batch [9799]	Speed: 2362.839036 samples/sec	accuracy=0.085102	lr=0.099583
Epoch[1] Batch [9999]	Speed: 2367.578479 samples/sec	accuracy=0.085247	lr=0.099983
Epoch[1] Batch [10199]	Speed: 2374.528461 samples/sec	accuracy=0.085340	lr=0.100382
Epoch[1] Batch [10399]	Speed: 2389.596835 samples/sec	accuracy=0.085520	lr=0.100782
Epoch[1] Batch [10599]	Speed: 2387.835107 samples/sec	accuracy=0.085581	lr=0.101181
Epoch[1] Batch [10799]	Speed: 2370.112276 samples/sec	accuracy=0.085535	lr=0.101581
Epoch[1] Batch [10999]	Speed: 2366.531300 samples/sec	accuracy=0.085571	lr=0.101981
Epoch[1] Batch [11199]	Speed: 2364.259999 samples/sec	accuracy=0.085622	lr=0.102380
Epoch[1] Batch [11399]	Speed: 2314.736908 samples/sec	accuracy=0.085661	lr=0.102780
Epoch[1] Batch [11599]	Speed: 2356.659004 samples/sec	accuracy=0.085638	lr=0.103180
