Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=224, lr=0.001, lr_factor=0.75, model='resnet18_v2', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.720, loss: 0.560 | Val-acc: 0.854 | time: 9.1
[Epoch 1] Train-acc: 0.880, loss: 0.294 | Val-acc: 0.876 | time: 6.7
[Epoch 2] Train-acc: 0.902, loss: 0.227 | Val-acc: 0.890 | time: 6.6
[Epoch 3] Train-acc: 0.912, loss: 0.211 | Val-acc: 0.910 | time: 7.1
[Epoch 4] Train-acc: 0.927, loss: 0.178 | Val-acc: 0.890 | time: 6.7
[Epoch 5] Train-acc: 0.934, loss: 0.160 | Val-acc: 0.867 | time: 6.8
[Epoch 6] Train-acc: 0.940, loss: 0.155 | Val-acc: 0.906 | time: 6.6
[Epoch 7] Train-acc: 0.944, loss: 0.141 | Val-acc: 0.908 | time: 6.5
[Epoch 8] Train-acc: 0.945, loss: 0.137 | Val-acc: 0.924 | time: 6.7
[Epoch 9] Train-acc: 0.950, loss: 0.131 | Val-acc: 0.908 | time: 6.5
[Epoch 10] Train-acc: 0.956, loss: 0.121 | Val-acc: 0.928 | time: 6.5
[Epoch 11] Train-acc: 0.953, loss: 0.131 | Val-acc: 0.881 | time: 6.9
[Epoch 12] Train-acc: 0.956, loss: 0.116 | Val-acc: 0.879 | time: 6.7
[Epoch 13] Train-acc: 0.955, loss: 0.111 | Val-acc: 0.910 | time: 6.7
[Epoch 14] Train-acc: 0.962, loss: 0.102 | Val-acc: 0.887 | time: 6.5
[Epoch 15] Train-acc: 0.958, loss: 0.107 | Val-acc: 0.912 | time: 6.6
[Epoch 16] Train-acc: 0.962, loss: 0.097 | Val-acc: 0.899 | time: 6.8
[Epoch 17] Train-acc: 0.967, loss: 0.091 | Val-acc: 0.915 | time: 6.8
[Epoch 18] Train-acc: 0.961, loss: 0.105 | Val-acc: 0.908 | time: 6.8
[Epoch 19] Train-acc: 0.966, loss: 0.093 | Val-acc: 0.899 | time: 6.4
[Epoch 20] Train-acc: 0.964, loss: 0.092 | Val-acc: 0.901 | time: 6.5
[Epoch 21] Train-acc: 0.968, loss: 0.087 | Val-acc: 0.910 | time: 6.7
[Epoch 22] Train-acc: 0.975, loss: 0.076 | Val-acc: 0.897 | time: 6.5
[Epoch 23] Train-acc: 0.968, loss: 0.086 | Val-acc: 0.908 | time: 6.5
[Epoch 24] Train-acc: 0.970, loss: 0.078 | Val-acc: 0.914 | time: 6.6
[Epoch 25] Train-acc: 0.974, loss: 0.070 | Val-acc: 0.888 | time: 6.5
[Epoch 26] Train-acc: 0.974, loss: 0.074 | Val-acc: 0.917 | time: 6.7
[Epoch 27] Train-acc: 0.975, loss: 0.077 | Val-acc: 0.892 | time: 6.5
