Namespace(batch_size=32, input_sz=224, lr=0.001, lr_factor=0.75, model='mobilenet0.5', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 42] Train-acc: 0.680, loss: 0.591 | Test-acc: 0.700 | time: 6.5 | Speed: 339.02 samples/sec | lr: 0.00031641
[Epoch 43] Train-acc: 0.698, loss: 0.578 | Test-acc: 0.710 | time: 6.6 | Speed: 332.81 samples/sec | lr: 0.00031641
[Epoch 44] Train-acc: 0.683, loss: 0.590 | Test-acc: 0.712 | time: 6.5 | Speed: 338.72 samples/sec | lr: 0.00031641
[Epoch 45] Train-acc: 0.700, loss: 0.575 | Test-acc: 0.685 | time: 6.5 | Speed: 336.81 samples/sec | lr: 0.00031641
[Epoch 46] Train-acc: 0.694, loss: 0.581 | Test-acc: 0.710 | time: 6.7 | Speed: 329.25 samples/sec | lr: 0.00031641
[Epoch 47] Train-acc: 0.702, loss: 0.572 | Test-acc: 0.705 | time: 6.6 | Speed: 335.53 samples/sec | lr: 0.00031641
[Epoch 48] Train-acc: 0.695, loss: 0.587 | Test-acc: 0.709 | time: 6.5 | Speed: 336.82 samples/sec | lr: 0.00031641
[Epoch 49] Train-acc: 0.688, loss: 0.582 | Test-acc: 0.689 | time: 6.5 | Speed: 336.88 samples/sec | lr: 0.00031641
[Epoch 50] Train-acc: 0.700, loss: 0.572 | Test-acc: 0.685 | time: 6.6 | Speed: 333.35 samples/sec | lr: 0.00023730
[Epoch 51] Train-acc: 0.715, loss: 0.565 | Test-acc: 0.694 | time: 6.7 | Speed: 329.27 samples/sec | lr: 0.00023730
[Epoch 52] Train-acc: 0.700, loss: 0.577 | Test-acc: 0.700 | time: 6.6 | Speed: 335.82 samples/sec | lr: 0.00023730
[Epoch 53] Train-acc: 0.705, loss: 0.580 | Test-acc: 0.683 | time: 6.6 | Speed: 335.49 samples/sec | lr: 0.00023730
[Epoch 54] Train-acc: 0.706, loss: 0.569 | Test-acc: 0.691 | time: 6.7 | Speed: 328.87 samples/sec | lr: 0.00023730
[Epoch 55] Train-acc: 0.708, loss: 0.581 | Test-acc: 0.707 | time: 6.6 | Speed: 332.07 samples/sec | lr: 0.00023730
[Epoch 56] Train-acc: 0.711, loss: 0.570 | Test-acc: 0.700 | time: 6.6 | Speed: 333.65 samples/sec | lr: 0.00023730
[Epoch 57] Train-acc: 0.710, loss: 0.561 | Test-acc: 0.712 | time: 6.7 | Speed: 330.45 samples/sec | lr: 0.00023730
