Namespace(batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=False, log_interval=200, logging_file='mobilenet0.25.log', lr=0.4, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='mobilenet0.25', momentum=0.9, no_wd=True, num_epochs=120, num_gpus=1, num_workers=8, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params_mobilenet0.25', save_frequency=10, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=False, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[1] Batch [599]	Speed: 1114.343394 samples/sec	accuracy=0.080755	lr=0.084797
Epoch[1] Batch [799]	Speed: 1098.383071 samples/sec	accuracy=0.081455	lr=0.086396
Epoch[1] Batch [999]	Speed: 1098.233507 samples/sec	accuracy=0.082672	lr=0.087995
Epoch[1] Batch [1199]	Speed: 1122.590825 samples/sec	accuracy=0.083672	lr=0.089593
Epoch[1] Batch [1399]	Speed: 1082.025388 samples/sec	accuracy=0.084738	lr=0.091192
Epoch[1] Batch [1599]	Speed: 1097.779529 samples/sec	accuracy=0.085908	lr=0.092790
Epoch[1] Batch [1799]	Speed: 1136.541372 samples/sec	accuracy=0.086814	lr=0.094389
Epoch[1] Batch [1999]	Speed: 1124.248626 samples/sec	accuracy=0.087668	lr=0.095988
Epoch[1] Batch [2199]	Speed: 1103.120810 samples/sec	accuracy=0.088654	lr=0.097586
Epoch[1] Batch [2399]	Speed: 1085.045897 samples/sec	accuracy=0.089883	lr=0.099185
Epoch[1] Batch [2599]	Speed: 1115.291565 samples/sec	accuracy=0.090814	lr=0.100783
Epoch[1] Batch [2799]	Speed: 1095.363880 samples/sec	accuracy=0.091719	lr=0.102382
Epoch[1] Batch [2999]	Speed: 1084.783959 samples/sec	accuracy=0.092784	lr=0.103980
Epoch[1] Batch [3199]	Speed: 1079.298918 samples/sec	accuracy=0.093630	lr=0.105579
Epoch[1] Batch [3399]	Speed: 1130.526521 samples/sec	accuracy=0.094506	lr=0.107178
Epoch[1] Batch [3599]	Speed: 1118.829862 samples/sec	accuracy=0.095441	lr=0.108776
Epoch[1] Batch [3799]	Speed: 1120.161472 samples/sec	accuracy=0.096310	lr=0.110375
Epoch[1] Batch [3999]	Speed: 1080.225478 samples/sec	accuracy=0.097164	lr=0.111973
Epoch[1] Batch [4199]	Speed: 1097.192346 samples/sec	accuracy=0.098060	lr=0.113572
Epoch[1] Batch [4399]	Speed: 1079.389622 samples/sec	accuracy=0.098803	lr=0.115171
Epoch[1] Batch [4599]	Speed: 1126.874687 samples/sec	accuracy=0.099521	lr=0.116769
Epoch[1] Batch [4799]	Speed: 1094.365414 samples/sec	accuracy=0.100379	lr=0.118368
Epoch[1] Batch [4999]	Speed: 1072.018897 samples/sec	accuracy=0.101237	lr=0.119966
Epoch[1] Batch [5199]	Speed: 1125.194304 samples/sec	accuracy=0.102096	lr=0.121565
Epoch[1] Batch [5399]	Speed: 1096.921453 samples/sec	accuracy=0.102778	lr=0.123164
Epoch[1] Batch [5599]	Speed: 1134.375511 samples/sec	accuracy=0.103525	lr=0.124762
Epoch[1] Batch [5799]	Speed: 1117.567246 samples/sec	accuracy=0.104434	lr=0.126361
Epoch[1] Batch [5999]	Speed: 1102.625394 samples/sec	accuracy=0.105122	lr=0.127959
Epoch[1] Batch [6199]	Speed: 1093.873159 samples/sec	accuracy=0.105973	lr=0.129558
Epoch[1] Batch [6399]	Speed: 1081.449498 samples/sec	accuracy=0.106655	lr=0.131157
Epoch[1] Batch [6599]	Speed: 1074.797910 samples/sec	accuracy=0.107360	lr=0.132755
Epoch[1] Batch [6799]	Speed: 1096.161125 samples/sec	accuracy=0.108055	lr=0.134354
Epoch[1] Batch [6999]	Speed: 1111.103628 samples/sec	accuracy=0.108879	lr=0.135952
Epoch[1] Batch [7199]	Speed: 1109.438668 samples/sec	accuracy=0.109599	lr=0.137551
Epoch[1] Batch [7399]	Speed: 1106.042752 samples/sec	accuracy=0.110431	lr=0.139150
Epoch[1] Batch [7599]	Speed: 1067.789081 samples/sec	accuracy=0.111115	lr=0.140748
Epoch[1] Batch [7799]	Speed: 1106.529864 samples/sec	accuracy=0.111822	lr=0.142347
Epoch[1] Batch [7999]	Speed: 1097.926083 samples/sec	accuracy=0.112521	lr=0.143945
Epoch[1] Batch [8199]	Speed: 1110.145470 samples/sec	accuracy=0.113255	lr=0.145544
Epoch[1] Batch [8399]	Speed: 1112.383064 samples/sec	accuracy=0.113942	lr=0.147143
Epoch[1] Batch [8599]	Speed: 1110.021707 samples/sec	accuracy=0.114500	lr=0.148741
Epoch[1] Batch [8799]	Speed: 1076.806102 samples/sec	accuracy=0.115081	lr=0.150340
Epoch[1] Batch [8999]	Speed: 1031.279885 samples/sec	accuracy=0.115602	lr=0.151938
Epoch[1] Batch [9199]	Speed: 958.360227 samples/sec	accuracy=0.116159	lr=0.153537
Epoch[1] Batch [9399]	Speed: 990.434917 samples/sec	accuracy=0.116739	lr=0.155135
