Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=224, lr=0.001, lr_factor=0.75, model='arm_network_v3.4', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 0] Train-acc: 0.549, loss: 0.688 | Val-acc: 0.664 | time: 7.0
[Epoch 1] Train-acc: 0.620, loss: 0.661 | Val-acc: 0.673 | time: 6.0
[Epoch 2] Train-acc: 0.625, loss: 0.644 | Val-acc: 0.703 | time: 6.0
[Epoch 3] Train-acc: 0.638, loss: 0.643 | Val-acc: 0.685 | time: 6.2
[Epoch 4] Train-acc: 0.653, loss: 0.627 | Val-acc: 0.712 | time: 6.0
[Epoch 5] Train-acc: 0.653, loss: 0.627 | Val-acc: 0.682 | time: 6.1
[Epoch 6] Train-acc: 0.650, loss: 0.623 | Val-acc: 0.703 | time: 7.0
[Epoch 7] Train-acc: 0.645, loss: 0.620 | Val-acc: 0.667 | time: 6.3
[Epoch 8] Train-acc: 0.655, loss: 0.622 | Val-acc: 0.595 | time: 6.2
[Epoch 9] Train-acc: 0.663, loss: 0.612 | Val-acc: 0.721 | time: 6.0
[Epoch 10] Train-acc: 0.674, loss: 0.613 | Val-acc: 0.689 | time: 6.1
[Epoch 11] Train-acc: 0.662, loss: 0.609 | Val-acc: 0.730 | time: 6.0
[Epoch 12] Train-acc: 0.671, loss: 0.609 | Val-acc: 0.576 | time: 6.2
[Epoch 13] Train-acc: 0.670, loss: 0.608 | Val-acc: 0.712 | time: 5.9
[Epoch 14] Train-acc: 0.699, loss: 0.587 | Val-acc: 0.629 | time: 6.2
[Epoch 15] Train-acc: 0.696, loss: 0.579 | Val-acc: 0.759 | time: 6.1
[Epoch 16] Train-acc: 0.699, loss: 0.580 | Val-acc: 0.691 | time: 6.0
[Epoch 17] Train-acc: 0.714, loss: 0.566 | Val-acc: 0.727 | time: 6.0
[Epoch 18] Train-acc: 0.721, loss: 0.557 | Val-acc: 0.680 | time: 6.0
[Epoch 19] Train-acc: 0.693, loss: 0.577 | Val-acc: 0.635 | time: 6.3
[Epoch 20] Train-acc: 0.716, loss: 0.571 | Val-acc: 0.757 | time: 6.1
[Epoch 21] Train-acc: 0.714, loss: 0.552 | Val-acc: 0.748 | time: 6.1
[Epoch 22] Train-acc: 0.725, loss: 0.544 | Val-acc: 0.725 | time: 6.1
[Epoch 23] Train-acc: 0.713, loss: 0.559 | Val-acc: 0.743 | time: 6.0
[Epoch 24] Train-acc: 0.719, loss: 0.554 | Val-acc: 0.680 | time: 6.2
[Epoch 25] Train-acc: 0.718, loss: 0.546 | Val-acc: 0.692 | time: 7.3
[Epoch 26] Train-acc: 0.730, loss: 0.552 | Val-acc: 0.712 | time: 6.2
[Epoch 27] Train-acc: 0.722, loss: 0.543 | Val-acc: 0.642 | time: 6.0
[Epoch 28] Train-acc: 0.737, loss: 0.548 | Val-acc: 0.685 | time: 6.1
[Epoch 29] Train-acc: 0.725, loss: 0.548 | Val-acc: 0.646 | time: 6.0
[Epoch 30] Train-acc: 0.743, loss: 0.533 | Val-acc: 0.779 | time: 6.2
[Epoch 31] Train-acc: 0.745, loss: 0.529 | Val-acc: 0.741 | time: 5.9
[Epoch 32] Train-acc: 0.731, loss: 0.530 | Val-acc: 0.736 | time: 6.0
[Epoch 33] Train-acc: 0.731, loss: 0.534 | Val-acc: 0.727 | time: 6.1
[Epoch 34] Train-acc: 0.725, loss: 0.536 | Val-acc: 0.745 | time: 6.1
[Epoch 35] Train-acc: 0.745, loss: 0.515 | Val-acc: 0.750 | time: 6.1
[Epoch 36] Train-acc: 0.744, loss: 0.528 | Val-acc: 0.772 | time: 6.1
[Epoch 37] Train-acc: 0.739, loss: 0.522 | Val-acc: 0.637 | time: 6.2
[Epoch 38] Train-acc: 0.738, loss: 0.525 | Val-acc: 0.710 | time: 6.0
[Epoch 39] Train-acc: 0.735, loss: 0.525 | Val-acc: 0.763 | time: 6.2
[Epoch 40] Train-acc: 0.741, loss: 0.519 | Val-acc: 0.784 | time: 5.9
[Epoch 41] Train-acc: 0.742, loss: 0.533 | Val-acc: 0.728 | time: 6.2
[Epoch 42] Train-acc: 0.757, loss: 0.514 | Val-acc: 0.743 | time: 6.1
[Epoch 43] Train-acc: 0.754, loss: 0.517 | Val-acc: 0.750 | time: 6.1
[Epoch 44] Train-acc: 0.748, loss: 0.516 | Val-acc: 0.743 | time: 6.1
[Epoch 45] Train-acc: 0.741, loss: 0.517 | Val-acc: 0.786 | time: 6.0
[Epoch 46] Train-acc: 0.740, loss: 0.525 | Val-acc: 0.737 | time: 6.2
[Epoch 47] Train-acc: 0.749, loss: 0.518 | Val-acc: 0.782 | time: 7.0
[Epoch 48] Train-acc: 0.735, loss: 0.529 | Val-acc: 0.718 | time: 6.5
[Epoch 49] Train-acc: 0.743, loss: 0.508 | Val-acc: 0.782 | time: 6.0
[Epoch 50] Train-acc: 0.762, loss: 0.497 | Val-acc: 0.764 | time: 6.1
[Epoch 51] Train-acc: 0.760, loss: 0.497 | Val-acc: 0.709 | time: 6.1
[Epoch 52] Train-acc: 0.758, loss: 0.501 | Val-acc: 0.782 | time: 6.2
[Epoch 53] Train-acc: 0.753, loss: 0.498 | Val-acc: 0.772 | time: 6.0
[Epoch 54] Train-acc: 0.752, loss: 0.525 | Val-acc: 0.779 | time: 6.0
[Epoch 55] Train-acc: 0.745, loss: 0.511 | Val-acc: 0.791 | time: 6.0
[Epoch 56] Train-acc: 0.759, loss: 0.492 | Val-acc: 0.773 | time: 6.0
[Epoch 57] Train-acc: 0.775, loss: 0.487 | Val-acc: 0.791 | time: 6.2
[Epoch 58] Train-acc: 0.750, loss: 0.502 | Val-acc: 0.701 | time: 6.0
[Epoch 59] Train-acc: 0.757, loss: 0.501 | Val-acc: 0.788 | time: 6.0
[Epoch 60] Train-acc: 0.769, loss: 0.496 | Val-acc: 0.755 | time: 6.1
[Epoch 61] Train-acc: 0.762, loss: 0.498 | Val-acc: 0.779 | time: 6.7
[Epoch 62] Train-acc: 0.760, loss: 0.490 | Val-acc: 0.775 | time: 7.1
[Epoch 63] Train-acc: 0.756, loss: 0.494 | Val-acc: 0.725 | time: 6.1
[Epoch 64] Train-acc: 0.755, loss: 0.500 | Val-acc: 0.799 | time: 6.1
[Epoch 65] Train-acc: 0.749, loss: 0.505 | Val-acc: 0.746 | time: 6.2
[Epoch 66] Train-acc: 0.759, loss: 0.493 | Val-acc: 0.745 | time: 6.0
[Epoch 67] Train-acc: 0.765, loss: 0.495 | Val-acc: 0.572 | time: 6.2
[Epoch 68] Train-acc: 0.764, loss: 0.491 | Val-acc: 0.806 | time: 6.2
[Epoch 69] Train-acc: 0.761, loss: 0.487 | Val-acc: 0.797 | time: 6.1
[Epoch 70] Train-acc: 0.763, loss: 0.493 | Val-acc: 0.759 | time: 5.9
[Epoch 71] Train-acc: 0.763, loss: 0.494 | Val-acc: 0.764 | time: 6.2
[Epoch 72] Train-acc: 0.755, loss: 0.501 | Val-acc: 0.784 | time: 6.0
[Epoch 73] Train-acc: 0.765, loss: 0.499 | Val-acc: 0.799 | time: 6.4
[Epoch 74] Train-acc: 0.763, loss: 0.486 | Val-acc: 0.763 | time: 6.0
[Epoch 75] Train-acc: 0.767, loss: 0.486 | Val-acc: 0.793 | time: 6.2
[Epoch 76] Train-acc: 0.765, loss: 0.493 | Val-acc: 0.781 | time: 6.2
[Epoch 77] Train-acc: 0.769, loss: 0.483 | Val-acc: 0.797 | time: 6.1
[Epoch 78] Train-acc: 0.773, loss: 0.488 | Val-acc: 0.705 | time: 6.2
[Epoch 79] Train-acc: 0.768, loss: 0.484 | Val-acc: 0.809 | time: 6.1
[Epoch 80] Train-acc: 0.765, loss: 0.489 | Val-acc: 0.800 | time: 6.2
[Epoch 81] Train-acc: 0.763, loss: 0.487 | Val-acc: 0.759 | time: 6.8
[Epoch 82] Train-acc: 0.745, loss: 0.499 | Val-acc: 0.718 | time: 6.8
[Epoch 83] Train-acc: 0.772, loss: 0.472 | Val-acc: 0.737 | time: 6.1
[Epoch 84] Train-acc: 0.784, loss: 0.474 | Val-acc: 0.782 | time: 6.1
[Epoch 85] Train-acc: 0.770, loss: 0.478 | Val-acc: 0.800 | time: 6.0
[Epoch 86] Train-acc: 0.775, loss: 0.481 | Val-acc: 0.718 | time: 5.9
[Epoch 87] Train-acc: 0.767, loss: 0.471 | Val-acc: 0.790 | time: 6.1
[Epoch 88] Train-acc: 0.763, loss: 0.490 | Val-acc: 0.694 | time: 6.0
[Epoch 89] Train-acc: 0.777, loss: 0.479 | Val-acc: 0.761 | time: 6.3
[Epoch 90] Train-acc: 0.767, loss: 0.485 | Val-acc: 0.727 | time: 6.1
[Epoch 91] Train-acc: 0.765, loss: 0.487 | Val-acc: 0.788 | time: 6.1
[Epoch 92] Train-acc: 0.760, loss: 0.481 | Val-acc: 0.800 | time: 6.1
[Epoch 93] Train-acc: 0.780, loss: 0.479 | Val-acc: 0.795 | time: 6.1
[Epoch 94] Train-acc: 0.783, loss: 0.467 | Val-acc: 0.811 | time: 6.2
[Epoch 95] Train-acc: 0.782, loss: 0.468 | Val-acc: 0.799 | time: 7.1
[Epoch 96] Train-acc: 0.774, loss: 0.469 | Val-acc: 0.793 | time: 6.4
[Epoch 97] Train-acc: 0.787, loss: 0.459 | Val-acc: 0.755 | time: 6.0
[Epoch 98] Train-acc: 0.770, loss: 0.484 | Val-acc: 0.763 | time: 6.0
[Epoch 99] Train-acc: 0.781, loss: 0.468 | Val-acc: 0.784 | time: 6.3
[Epoch 100] Train-acc: 0.770, loss: 0.470 | Val-acc: 0.732 | time: 5.9
[Epoch 101] Train-acc: 0.755, loss: 0.492 | Val-acc: 0.782 | time: 6.1
