Namespace(batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float32', hard_weight=0.5, input_size=208, label_smoothing=True, last_gamma=False, log_interval=200, logging_file='arm_network_v5.1_train_imagenet.log', lr=0.05, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='arm_network_v5.1', momentum=0.9, no_wd=True, num_epochs=120, num_gpus=1, num_workers=8, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params', save_frequency=10, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=False, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
Epoch[1] Batch [599]	Speed: 1360.139055 samples/sec	accuracy=0.022240	lr=0.010600
Epoch[1] Batch [799]	Speed: 1354.555325 samples/sec	accuracy=0.022354	lr=0.010799
Epoch[1] Batch [999]	Speed: 1440.664567 samples/sec	accuracy=0.022414	lr=0.010999
Epoch[1] Batch [1199]	Speed: 1385.419478 samples/sec	accuracy=0.022734	lr=0.011199
Epoch[1] Batch [1399]	Speed: 1444.135794 samples/sec	accuracy=0.023432	lr=0.011399
Epoch[1] Batch [1599]	Speed: 1386.582050 samples/sec	accuracy=0.023540	lr=0.011599
Epoch[1] Batch [1799]	Speed: 1388.245370 samples/sec	accuracy=0.024049	lr=0.011799
Epoch[1] Batch [1999]	Speed: 1436.662111 samples/sec	accuracy=0.024402	lr=0.011998
Epoch[1] Batch [2199]	Speed: 1417.119801 samples/sec	accuracy=0.024769	lr=0.012198
Epoch[1] Batch [2399]	Speed: 1407.853745 samples/sec	accuracy=0.025313	lr=0.012398
Epoch[1] Batch [2599]	Speed: 1443.723115 samples/sec	accuracy=0.025721	lr=0.012598
Epoch[1] Batch [2799]	Speed: 1401.453234 samples/sec	accuracy=0.026113	lr=0.012798
Epoch[1] Batch [2999]	Speed: 1407.037708 samples/sec	accuracy=0.026651	lr=0.012998
Epoch[1] Batch [3199]	Speed: 1447.765223 samples/sec	accuracy=0.027207	lr=0.013197
Epoch[1] Batch [3399]	Speed: 1379.570132 samples/sec	accuracy=0.027610	lr=0.013397
Epoch[1] Batch [3599]	Speed: 1385.885528 samples/sec	accuracy=0.028158	lr=0.013597
Epoch[1] Batch [3799]	Speed: 1452.873924 samples/sec	accuracy=0.028586	lr=0.013797
Epoch[1] Batch [3999]	Speed: 1443.747944 samples/sec	accuracy=0.029064	lr=0.013997
Epoch[1] Batch [4199]	Speed: 1334.252653 samples/sec	accuracy=0.029541	lr=0.014197
Epoch[1] Batch [4399]	Speed: 1227.822399 samples/sec	accuracy=0.029952	lr=0.014396
Epoch[1] Batch [4599]	Speed: 1379.561500 samples/sec	accuracy=0.030442	lr=0.014596
Epoch[1] Batch [4799]	Speed: 1379.557193 samples/sec	accuracy=0.030863	lr=0.014796
Epoch[1] Batch [4999]	Speed: 1414.944460 samples/sec	accuracy=0.031278	lr=0.014996
Epoch[1] Batch [5199]	Speed: 1387.633446 samples/sec	accuracy=0.031753	lr=0.015196
Epoch[1] Batch [5399]	Speed: 1387.252513 samples/sec	accuracy=0.032231	lr=0.015395
Epoch[1] Batch [5599]	Speed: 1442.717232 samples/sec	accuracy=0.032736	lr=0.015595
Epoch[1] Batch [5799]	Speed: 1445.550104 samples/sec	accuracy=0.033209	lr=0.015795
Epoch[1] Batch [5999]	Speed: 1423.432463 samples/sec	accuracy=0.033684	lr=0.015995
Epoch[1] Batch [6199]	Speed: 1381.891939 samples/sec	accuracy=0.034153	lr=0.016195
Epoch[1] Batch [6399]	Speed: 1416.766644 samples/sec	accuracy=0.034633	lr=0.016395
Epoch[1] Batch [6599]	Speed: 1405.341569 samples/sec	accuracy=0.035180	lr=0.016594
Epoch[1] Batch [6799]	Speed: 1385.736915 samples/sec	accuracy=0.035701	lr=0.016794
Epoch[1] Batch [6999]	Speed: 1386.530609 samples/sec	accuracy=0.036249	lr=0.016994
Epoch[1] Batch [7199]	Speed: 1444.054805 samples/sec	accuracy=0.036744	lr=0.017194
Epoch[1] Batch [7399]	Speed: 1383.971025 samples/sec	accuracy=0.037322	lr=0.017394
Epoch[1] Batch [7599]	Speed: 1383.640096 samples/sec	accuracy=0.037856	lr=0.017594
Epoch[1] Batch [7799]	Speed: 1393.087886 samples/sec	accuracy=0.038423	lr=0.017793
Epoch[1] Batch [7999]	Speed: 1444.533356 samples/sec	accuracy=0.038919	lr=0.017993
Epoch[1] Batch [8199]	Speed: 1377.260336 samples/sec	accuracy=0.039451	lr=0.018193
Epoch[1] Batch [8399]	Speed: 1392.281578 samples/sec	accuracy=0.039967	lr=0.018393
Epoch[1] Batch [8599]	Speed: 1388.858211 samples/sec	accuracy=0.040480	lr=0.018593
Epoch[1] Batch [8799]	Speed: 1418.091400 samples/sec	accuracy=0.041014	lr=0.018792
Epoch[1] Batch [8999]	Speed: 1441.889257 samples/sec	accuracy=0.041543	lr=0.018992
Epoch[1] Batch [9199]	Speed: 1426.655490 samples/sec	accuracy=0.042033	lr=0.019192
Epoch[1] Batch [9399]	Speed: 1406.840543 samples/sec	accuracy=0.042564	lr=0.019392
Epoch[1] Batch [9599]	Speed: 1387.619996 samples/sec	accuracy=0.043077	lr=0.019592
Epoch[1] Batch [9799]	Speed: 1386.902959 samples/sec	accuracy=0.043556	lr=0.019792
Epoch[1] Batch [9999]	Speed: 1453.838767 samples/sec	accuracy=0.044042	lr=0.019991
[Epoch 1] training: accuracy=0.044070
[Epoch 1] speed: 1400 samples/sec	time cost: 941.060547
[Epoch 1] validation: err-top1=0.920340 err-top5=0.789620
Epoch[2] Batch [199]	Speed: 1378.277238 samples/sec	accuracy=0.075039	lr=0.020200
Epoch[2] Batch [399]	Speed: 1448.471418 samples/sec	accuracy=0.073730	lr=0.020400
Epoch[2] Batch [599]	Speed: 1370.817338 samples/sec	accuracy=0.073568	lr=0.020600
Epoch[2] Batch [799]	Speed: 1391.092581 samples/sec	accuracy=0.072578	lr=0.020800
Epoch[2] Batch [999]	Speed: 1431.598959 samples/sec	accuracy=0.072875	lr=0.021000
Epoch[2] Batch [1199]	Speed: 1396.243185 samples/sec	accuracy=0.073477	lr=0.021199
Epoch[2] Batch [1399]	Speed: 1404.720273 samples/sec	accuracy=0.073616	lr=0.021399
Epoch[2] Batch [1599]	Speed: 1440.598811 samples/sec	accuracy=0.073926	lr=0.021599
Epoch[2] Batch [1799]	Speed: 1361.957499 samples/sec	accuracy=0.074232	lr=0.021799
Epoch[2] Batch [1999]	Speed: 1440.736014 samples/sec	accuracy=0.074547	lr=0.021999
Epoch[2] Batch [2199]	Speed: 1437.540500 samples/sec	accuracy=0.075167	lr=0.022198
Epoch[2] Batch [2399]	Speed: 1388.595457 samples/sec	accuracy=0.075879	lr=0.022398
Epoch[2] Batch [2599]	Speed: 1383.096109 samples/sec	accuracy=0.076256	lr=0.022598
Epoch[2] Batch [2799]	Speed: 1447.036080 samples/sec	accuracy=0.076579	lr=0.022798
Epoch[2] Batch [2999]	Speed: 1385.514922 samples/sec	accuracy=0.077193	lr=0.022998
Epoch[2] Batch [3199]	Speed: 1384.129519 samples/sec	accuracy=0.077627	lr=0.023198
Epoch[2] Batch [3399]	Speed: 1447.952256 samples/sec	accuracy=0.077999	lr=0.023397
Epoch[2] Batch [3599]	Speed: 1444.397333 samples/sec	accuracy=0.078466	lr=0.023597
Epoch[2] Batch [3799]	Speed: 1384.637465 samples/sec	accuracy=0.078902	lr=0.023797
Epoch[2] Batch [3999]	Speed: 1436.283355 samples/sec	accuracy=0.079371	lr=0.023997
Epoch[2] Batch [4199]	Speed: 1444.978875 samples/sec	accuracy=0.079834	lr=0.024197
Epoch[2] Batch [4399]	Speed: 1389.880408 samples/sec	accuracy=0.080394	lr=0.024397
Epoch[2] Batch [4599]	Speed: 1400.809748 samples/sec	accuracy=0.080788	lr=0.024596
Epoch[2] Batch [4799]	Speed: 1438.307034 samples/sec	accuracy=0.081208	lr=0.024796
Epoch[2] Batch [4999]	Speed: 1377.935145 samples/sec	accuracy=0.081603	lr=0.024996
Epoch[2] Batch [5199]	Speed: 1443.372040 samples/sec	accuracy=0.082091	lr=0.025196
Epoch[2] Batch [5399]	Speed: 1385.225554 samples/sec	accuracy=0.082568	lr=0.025396
Epoch[2] Batch [5599]	Speed: 1446.244029 samples/sec	accuracy=0.082913	lr=0.025595
Epoch[2] Batch [5799]	Speed: 1392.339531 samples/sec	accuracy=0.083407	lr=0.025795
Epoch[2] Batch [5999]	Speed: 1396.987509 samples/sec	accuracy=0.083837	lr=0.025995
Epoch[2] Batch [6199]	Speed: 1393.995508 samples/sec	accuracy=0.084297	lr=0.026195
Epoch[2] Batch [6399]	Speed: 1416.767522 samples/sec	accuracy=0.084764	lr=0.026395
Epoch[2] Batch [6599]	Speed: 1382.070094 samples/sec	accuracy=0.085223	lr=0.026595
Epoch[2] Batch [6799]	Speed: 1444.871387 samples/sec	accuracy=0.085593	lr=0.026794
Epoch[2] Batch [6999]	Speed: 1379.845404 samples/sec	accuracy=0.085985	lr=0.026994
Epoch[2] Batch [7199]	Speed: 1385.047692 samples/sec	accuracy=0.086431	lr=0.027194
Epoch[2] Batch [7399]	Speed: 1444.884200 samples/sec	accuracy=0.086872	lr=0.027394
Epoch[2] Batch [7599]	Speed: 1382.989650 samples/sec	accuracy=0.087185	lr=0.027594
Epoch[2] Batch [7799]	Speed: 1454.919344 samples/sec	accuracy=0.087619	lr=0.027794
Epoch[2] Batch [7999]	Speed: 1443.451555 samples/sec	accuracy=0.088110	lr=0.027993
Epoch[2] Batch [8199]	Speed: 1441.716234 samples/sec	accuracy=0.088584	lr=0.028193
Epoch[2] Batch [8399]	Speed: 1366.279388 samples/sec	accuracy=0.088955	lr=0.028393
Epoch[2] Batch [8599]	Speed: 1445.022590 samples/sec	accuracy=0.089291	lr=0.028593
Epoch[2] Batch [8799]	Speed: 1369.215469 samples/sec	accuracy=0.089653	lr=0.028793
Epoch[2] Batch [8999]	Speed: 1444.457414 samples/sec	accuracy=0.090065	lr=0.028992
Epoch[2] Batch [9199]	Speed: 1383.977929 samples/sec	accuracy=0.090409	lr=0.029192
Epoch[2] Batch [9399]	Speed: 1445.346803 samples/sec	accuracy=0.090836	lr=0.029392
Epoch[2] Batch [9599]	Speed: 1381.424837 samples/sec	accuracy=0.091177	lr=0.029592
Epoch[2] Batch [9799]	Speed: 1436.147748 samples/sec	accuracy=0.091570	lr=0.029792
Epoch[2] Batch [9999]	Speed: 1392.956210 samples/sec	accuracy=0.091862	lr=0.029992
[Epoch 2] training: accuracy=0.091881
[Epoch 2] speed: 1410 samples/sec	time cost: 934.467927
[Epoch 2] validation: err-top1=0.884800 err-top5=0.719960
Epoch[3] Batch [199]	Speed: 1367.129112 samples/sec	accuracy=0.113203	lr=0.030200
