Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=112, lr=0.001, lr_factor=0.75, model='mobilenet0.25', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 42] Train-acc: 0.935, loss: 0.170 | Test-acc: 0.797 | time: 4.9 | Speed: 446.30 samples/sec | lr: 0.00031641
[Epoch 43] Train-acc: 0.940, loss: 0.160 | Test-acc: 0.791 | time: 4.8 | Speed: 457.17 samples/sec | lr: 0.00031641
[Epoch 44] Train-acc: 0.939, loss: 0.151 | Test-acc: 0.784 | time: 4.7 | Speed: 467.34 samples/sec | lr: 0.00031641
[Epoch 45] Train-acc: 0.943, loss: 0.149 | Test-acc: 0.799 | time: 4.7 | Speed: 466.06 samples/sec | lr: 0.00031641
[Epoch 46] Train-acc: 0.939, loss: 0.159 | Test-acc: 0.793 | time: 4.8 | Speed: 456.05 samples/sec | lr: 0.00031641
[Epoch 47] Train-acc: 0.936, loss: 0.166 | Test-acc: 0.788 | time: 4.6 | Speed: 476.94 samples/sec | lr: 0.00031641
[Epoch 48] Train-acc: 0.939, loss: 0.146 | Test-acc: 0.791 | time: 4.5 | Speed: 484.24 samples/sec | lr: 0.00031641
[Epoch 49] Train-acc: 0.942, loss: 0.144 | Test-acc: 0.791 | time: 4.8 | Speed: 455.01 samples/sec | lr: 0.00031641
[Epoch 50] Train-acc: 0.940, loss: 0.168 | Test-acc: 0.790 | time: 4.9 | Speed: 445.40 samples/sec | lr: 0.00023730
[Epoch 51] Train-acc: 0.947, loss: 0.136 | Test-acc: 0.795 | time: 5.1 | Speed: 431.02 samples/sec | lr: 0.00023730
[Epoch 52] Train-acc: 0.953, loss: 0.128 | Test-acc: 0.800 | time: 4.7 | Speed: 470.10 samples/sec | lr: 0.00023730
[Epoch 53] Train-acc: 0.936, loss: 0.154 | Test-acc: 0.786 | time: 4.6 | Speed: 473.13 samples/sec | lr: 0.00023730
[Epoch 54] Train-acc: 0.944, loss: 0.146 | Test-acc: 0.799 | time: 4.6 | Speed: 473.65 samples/sec | lr: 0.00023730
[Epoch 55] Train-acc: 0.941, loss: 0.147 | Test-acc: 0.790 | time: 4.7 | Speed: 466.28 samples/sec | lr: 0.00023730
[Epoch 56] Train-acc: 0.949, loss: 0.132 | Test-acc: 0.788 | time: 4.7 | Speed: 471.86 samples/sec | lr: 0.00023730
[Epoch 57] Train-acc: 0.947, loss: 0.144 | Test-acc: 0.797 | time: 4.7 | Speed: 465.78 samples/sec | lr: 0.00023730
[Epoch 58] Train-acc: 0.943, loss: 0.151 | Test-acc: 0.791 | time: 4.6 | Speed: 476.76 samples/sec | lr: 0.00023730
[Epoch 59] Train-acc: 0.961, loss: 0.124 | Test-acc: 0.791 | time: 4.7 | Speed: 466.26 samples/sec | lr: 0.00023730
[Epoch 60] Train-acc: 0.952, loss: 0.128 | Test-acc: 0.811 | time: 4.7 | Speed: 469.36 samples/sec | lr: 0.00023730
[Epoch 61] Train-acc: 0.945, loss: 0.146 | Test-acc: 0.800 | time: 4.6 | Speed: 473.96 samples/sec | lr: 0.00023730
[Epoch 62] Train-acc: 0.947, loss: 0.144 | Test-acc: 0.802 | time: 4.6 | Speed: 478.35 samples/sec | lr: 0.00023730
[Epoch 63] Train-acc: 0.950, loss: 0.132 | Test-acc: 0.804 | time: 4.7 | Speed: 464.70 samples/sec | lr: 0.00023730
[Epoch 64] Train-acc: 0.951, loss: 0.131 | Test-acc: 0.804 | time: 4.8 | Speed: 458.51 samples/sec | lr: 0.00023730
[Epoch 65] Train-acc: 0.945, loss: 0.133 | Test-acc: 0.797 | time: 4.8 | Speed: 461.03 samples/sec | lr: 0.00023730
[Epoch 66] Train-acc: 0.948, loss: 0.138 | Test-acc: 0.800 | time: 4.7 | Speed: 466.98 samples/sec | lr: 0.00023730
[Epoch 67] Train-acc: 0.949, loss: 0.139 | Test-acc: 0.799 | time: 4.8 | Speed: 459.95 samples/sec | lr: 0.00023730
[Epoch 68] Train-acc: 0.940, loss: 0.150 | Test-acc: 0.795 | time: 4.7 | Speed: 472.20 samples/sec | lr: 0.00023730
[Epoch 69] Train-acc: 0.954, loss: 0.127 | Test-acc: 0.797 | time: 4.7 | Speed: 466.97 samples/sec | lr: 0.00023730
[Epoch 70] Train-acc: 0.951, loss: 0.133 | Test-acc: 0.804 | time: 4.8 | Speed: 462.30 samples/sec | lr: 0.00017798
[Epoch 71] Train-acc: 0.951, loss: 0.132 | Test-acc: 0.793 | time: 4.6 | Speed: 475.05 samples/sec | lr: 0.00017798
[Epoch 72] Train-acc: 0.952, loss: 0.128 | Test-acc: 0.806 | time: 4.7 | Speed: 471.72 samples/sec | lr: 0.00017798
[Epoch 73] Train-acc: 0.947, loss: 0.131 | Test-acc: 0.795 | time: 4.6 | Speed: 476.28 samples/sec | lr: 0.00017798
[Epoch 74] Train-acc: 0.955, loss: 0.117 | Test-acc: 0.800 | time: 4.5 | Speed: 485.64 samples/sec | lr: 0.00017798
[Epoch 75] Train-acc: 0.951, loss: 0.134 | Test-acc: 0.793 | time: 4.6 | Speed: 481.41 samples/sec | lr: 0.00017798
[Epoch 76] Train-acc: 0.954, loss: 0.124 | Test-acc: 0.804 | time: 4.6 | Speed: 473.87 samples/sec | lr: 0.00017798
